# surftimeconst,average_velocity_axis_0_t_inf__params_12o0_8o0,average_velocity_axis_0_t_inf__params_16o0_2o0,average_velocity_axis_0_t_inf__params_4o0_5o0,average_velocity_axis_0_t_inf__params_4o0_6o0,average_velocity_axis_0_t_inf__params_12o0_6o0,average_velocity_axis_0_t_inf__params_16o0_7o0,average_velocity_axis_0_t_inf__params_8o0_3o0,average_velocity_axis_0_t_inf__params_8o0_7o0,average_velocity_axis_0_t_inf__params_8o0_5o0,average_velocity_axis_0_t_inf__params_12o0_5o0,average_velocity_axis_0_t_inf__params_1o0_5o0,average_velocity_axis_0_t_inf__params_4o0_3o0,average_velocity_axis_0_t_inf__params_2o0_5o0,average_velocity_axis_0_t_inf__params_12o0_7o0,average_velocity_axis_0_t_inf__params_2o0_7o0,average_velocity_axis_0_t_inf__params_4o0_7o0,average_velocity_axis_0_t_inf__params_1o0_7o0,average_velocity_axis_0_t_inf__params_12o0_2o0,average_velocity_axis_0_t_inf__params_16o0_6o0,average_velocity_axis_0_t_inf__params_16o0_5o0,average_velocity_axis_0_t_inf__params_1o0_3o0,average_velocity_axis_0_t_inf__params_16o0_3o0,average_velocity_axis_0_t_inf__params_16o0_1o0,average_velocity_axis_0_t_inf__params_12o0_3o0,average_velocity_axis_0_t_inf__params_2o0_6o0,average_velocity_axis_0_t_inf__params_12o0_1o0,average_velocity_axis_0_t_inf__params_12o0_4o0,average_velocity_axis_0_t_inf__params_2o0_3o0,average_velocity_axis_0_t_inf__params_1o0_6o0,average_velocity_axis_0_t_inf__params_8o0_6o0,average_velocity_axis_0_t_inf__params_16o0_8o0,average_velocity_axis_0_t_inf__params_16o0_4o0
0.000000000000000000e+00,2.548192208488393895e+00,3.393293258975390359e+00,8.546634687172196543e-01,8.647378455165788402e-01,2.502314614909398660e+00,3.387856167472161673e+00,1.730841967343973220e+00,1.701446788123205156e+00,1.712654372362253152e+00,2.530184176929763051e+00,2.186522563394661389e-01,8.724687833869954057e-01,4.199719851473412979e-01,2.559835925426876102e+00,4.223053627298268276e-01,8.776072099448801733e-01,2.097082630092261535e-01,2.560237574748544187e+00,3.358327201592753219e+00,3.359372137243841205e+00,2.134260414375462600e-01,3.374771375727100953e+00,3.385539982412210769e+00,2.547433413628539256e+00,4.363772938757077835e-01,2.592616395183498845e+00,2.533026342430516387e+00,4.354814066739545741e-01,2.146544303294123934e-01,1.710416779592166314e+00,3.380044857594691088e+00,3.437584557565666277e+00
1.632653061224489666e-01,2.548072597312689425e+00,3.418550241174809656e+00,8.744502751009159969e-01,8.747273632757969208e-01,2.523068896633124059e+00,3.394891925236591668e+00,1.754600978179683635e+00,1.705652803389709371e+00,1.724755552149519255e+00,2.555134876653858633e+00,2.291109935063921077e-01,8.996098498012740086e-01,4.357178326489726250e-01,2.563937279679316728e+00,4.240041013641699941e-01,8.740822190012778048e-01,2.107195917110229466e-01,2.583691819735690842e+00,3.366171855911760158e+00,3.376957770516386237e+00,2.291861257368887073e-01,3.407005539111283454e+00,3.420217233778710675e+00,2.576288800254221023e+00,4.440800675008934051e-01,2.616297162413072641e+00,2.558489735039799040e+00,4.577700525140854793e-01,2.233723482822216055e-01,1.718733060529920920e+00,3.384045674381005675e+00,3.451858870661498990e+00
3.265306122448979331e-01,2.546904400101787314e+00,3.437860570226451973e+00,8.912146594538500333e-01,8.824103837317156529e-01,2.538079691492360901e+00,3.400495103006792696e+00,1.774415580965050587e+00,1.708957011904569168e+00,1.733744463870395824e+00,2.574205875683765576e+00,2.384888171504064291e-01,9.233335759908668505e-01,4.497572916359597883e-01,2.566900211901378182e+00,4.253478504980154340e-01,8.704900861385747035e-01,2.115815314305138084e-01,2.602689008323895159e+00,3.368747618963068291e+00,3.388510472574052024e+00,2.435454524993278802e-01,3.432101032729970580e+00,3.448142558981337036e+00,2.599778380213125129e+00,4.506559617752644575e-01,2.635456357310574038e+00,2.578801919589396086e+00,4.778566458873256817e-01,2.311025417514326052e-01,1.723958717071693902e+00,3.386610941775032302e+00,3.460548694041678530e+00
4.897959183673469274e-01,2.544731005747983499e+00,3.451412326302139455e+00,9.050728670785253005e-01,8.878824791209829481e-01,2.547568253992821496e+00,3.404713838450609487e+00,1.790419948561544183e+00,1.711389581147152006e+00,1.739727782220223506e+00,2.587615228621295671e+00,2.468234131073060444e-01,9.437641373883977058e-01,4.621489561394741541e-01,2.568767759935714601e+00,4.263486480100226461e-01,8.668291388570305012e-01,2.122983114822714346e-01,2.617366050268402855e+00,3.366242359178984511e+00,3.394240598406725429e+00,2.565497590360276692e-01,3.450305925442626265e+00,3.469538639709903283e+00,2.618079416036792839e+00,4.561457641446174938e-01,2.650235600711781991e+00,2.594131261741462691e+00,4.958159616214905530e-01,2.378807706002826761e-01,1.726207870820300361e+00,3.387794112210489317e+00,3.463843375119673329e+00
6.530612244897958663e-01,2.541595803143573029e+00,3.459393589573692473e+00,9.161411432774451136e-01,8.912392216802469402e-01,2.551755838640219043e+00,3.407596269235884545e+00,1.802748253830635639e+00,1.712980678596823569e+00,1.742812181894343393e+00,2.595580990068259819e+00,2.541524672128879780e-01,9.610257094264901268e-01,4.729514201906870330e-01,2.569582961624982342e+00,4.270185317788510737e-01,8.630977046569049405e-01,2.128741611808684930e-01,2.627859855324456095e+00,3.358843944991816155e+00,3.394358503004289762e+00,2.682447826581519368e-01,3.461868286108713111e+00,3.484628157654222846e+00,2.631369170256766754e+00,4.605902620547489001e-01,2.660776513452475456e+00,2.604646127158150470e+00,5.117227745443950759e-01,2.437427946920091015e-01,1.725594643378557169e+00,3.387648638121098621e+00,3.461932261308954484e+00
8.163265306122448051e-01,2.537542181180852285e+00,3.461992440212932731e+00,9.245357333531124544e-01,8.925761836461557630e-01,2.550863699940266738e+00,3.409190533030464376e+00,1.811534669633795724e+00,1.713760471732950430e+00,1.743104337588095909e+00,2.598321214626470699e+00,2.605136653029491711e-01,9.752424675377675545e-01,4.822232778207700132e-01,2.569388854811835543e+00,4.273695396831599935e-01,8.592941110384576531e-01,2.133133098408776518e-01,2.634307333247298821e+00,3.346740244833869671e+00,3.389074541356630110e+00,2.786762606768644623e-01,3.467036183587695053e+00,3.493633794504107826e+00,2.639824905404589028e+00,4.640302429514551186e-01,2.667220716368433386e+00,2.610514881501613260e+00,5.256518594838541780e-01,2.487243738898492762e-01,1.722233156349279870e+00,3.386227971940579895e+00,3.455004700022991315e+00
9.795918367346938549e-01,2.532613528752117649e+00,3.459396958391682819e+00,9.303728826080307490e-01,8.919889372553575502e-01,2.545113092398676446e+00,3.409544767502192375e+00,1.816913368832494990e+00,1.713759128034899826e+00,1.740710923996821480e+00,2.596053956897737880e+00,2.659446932132865093e-01,9.865385871548535413e-01,4.900231230608941280e-01,2.568228477338930560e+00,4.274137096016090154e-01,8.554166855019486038e-01,2.136199867768716065e-01,2.636845393792174974e+00,3.330119127137453283e+00,3.378599068453630228e+00,2.878899304033292195e-01,3.466057686739034693e+00,3.496778231949371651e+00,2.643623884011800040e+00,4.665064942805324244e-01,2.669709830295433850e+00,2.611905890434003119e+00,5.376779912676833417e-01,2.528612680570403448e-01,1.716237531335284672e+00,3.383585566102654596e+00,3.443250038675253588e+00
1.142857142857142794e+00,2.526853234749663724e+00,3.451795224281763552e+00,9.337688363447033124e-01,8.895730547445002134e-01,2.534725270521162255e+00,3.408707110318913269e+00,1.819018524288204430e+00,1.713006814982038106e+00,1.735738615815861197e+00,2.588997271483874929e+00,2.704832367796970449e-01,9.950382437103717503e-01,4.964095499422310209e-01,2.566144867048921530e+00,4.271630794128574715e-01,8.514637555476372022e-01,2.137984213034229974e-01,2.635610946714327163e+00,3.309168460334872108e+00,3.363142439285176089e+00,2.959315291487100708e-01,3.459180864422195079e+00,3.494284151679826866e+00,2.642943368609942834e+00,4.680598034877773150e-01,2.668385476069256246e+00,2.608987519617475215e+00,5.478759447236972724e-01,2.561892370568198407e-01,1.707721889939387561e+00,3.379774873041041516e+00,3.426857624679210623e+00
1.306122448979591733e+00,2.520304688065786447e+00,3.439375318054996633e+00,9.348398398656335706e-01,8.854241083502319976e-01,2.519921488813436472e+00,3.406725699148471342e+00,1.817984308862394816e+00,1.711533700053731399e+00,1.728294087740555041e+00,2.577369212986691860e+00,2.741669818379777745e-01,1.000865612636945956e+00,5.014411524959518918e-01,2.563181061784463477e+00,4.266296869955646942e-01,8.474336486757833020e-01,2.138528427351044925e-01,2.630740901768999773e+00,3.284076112858434371e+00,3.342915008841151003e+00,3.028467942241707678e-01,3.446653785496640587e+00,3.486374235385287346e+00,2.637960621730558231e+00,4.687309580189862324e-01,2.663389274525678196e+00,2.601928134714179830e+00,5.563204946797114525e-01,2.587440407524249086e-01,1.696800353764404745e+00,3.374849345189463001e+00,3.406016805448331741e+00
1.469387755102040671e+00,2.513011277592781756e+00,3.422325319883204209e+00,9.337021384733245055e-01,8.796376703092008142e-01,2.500923001781211852e+00,3.403648671658710878e+00,1.813944895416537140e+00,1.709369950729346943e+00,1.718484014466244325e+00,2.561387836008000463e+00,2.770336142239256394e-01,1.004144869367199266e+00,5.051765247532282732e-01,2.559380099388212315e+00,4.258255702283901822e-01,8.433246923866466460e-01,2.137874803864888151e-01,2.622372168711435858e+00,3.255029953140447407e+00,3.318127132111440059e+00,3.086814629408752841e-01,3.428724518821833822e+00,3.473271164755565632e+00,2.628852905905189274e+00,4.685607453199555072e-01,2.654862846500479989e+00,2.590896101386272576e+00,5.630864159635409205e-01,2.605614390070928876e-01,1.683587044413151768e+00,3.368862434981638287e+00,3.380916928396088039e+00
