# pos_1,concentration
1.389139705019461386e-03,1.004915995108434101e-01
2.470278535103650856e-03,7.346375301125315227e-01
4.392845456035934966e-03,5.720082123019099019e-01
7.811706625951745156e-03,4.467553557300257272e-01
1.389139705019461560e-02,6.933920366248192968e-01
2.470278535103651030e-02,6.837780087970487530e-01
4.392845456035934792e-02,8.897905524696374524e-01
7.811706625951746197e-02,1.066851789483301394e+00
1.389139705019461490e-01,1.060186374839397816e+00
2.470278535103651030e-01,1.049966562268526138e+00
4.392845456035935348e-01,9.552537145441896138e-01
7.811706625951745364e-01,1.026286403183015006e+00
