# pos_1,average_velocity_axis
1.389139705019461386e-03,9.794366173961110977e-02
2.470278535103650856e-03,1.013732415809026621e-01
4.392845456035934966e-03,1.079769339499791203e-01
7.811706625951745156e-03,1.170839575435694141e-01
1.389139705019461560e-02,1.269129408798783665e-01
2.470278535103651030e-02,1.321421794968112018e-01
4.392845456035934792e-02,1.306395641804945773e-01
7.811706625951746197e-02,1.275248911585920297e-01
1.389139705019461490e-01,1.251980668715104439e-01
2.470278535103651030e-01,1.212617666219982099e-01
4.392845456035935348e-01,1.149242110798864569e-01
7.811706625951745364e-01,1.053376327507842408e-01
