# pos_1,concentration
1.389139705019461386e-03,8.036813706618569642e-01
2.470278535103650856e-03,5.084361528848827527e-01
4.392845456035934966e-03,4.447561377590611986e-01
7.811706625951745156e-03,6.967203914189218361e-01
1.389139705019461560e-02,9.242335762611352257e-01
2.470278535103651030e-02,1.045118758707814788e+00
4.392845456035934792e-02,1.067414730621746743e+00
7.811706625951746197e-02,1.125471401522873727e+00
1.389139705019461490e-01,1.046794985287068602e+00
2.470278535103651030e-01,1.040599326237726885e+00
4.392845456035935348e-01,9.692506973592113217e-01
7.811706625951745364e-01,9.900575408317089376e-01
