# pos_1,concentration
1.389139705019461386e-03,0.000000000000000000e+00
2.470278535103650856e-03,9.077189273307719741e-01
4.392845456035934966e-03,5.104478644955484645e-01
7.811706625951745156e-03,1.435229642805052608e+00
1.389139705019461560e-02,1.614177878574929004e+00
2.470278535103651030e-02,1.089262712796926769e+00
4.392845456035934792e-02,1.122985301890206511e+00
7.811706625951746197e-02,1.062069935675738819e+00
1.389139705019461490e-01,1.129924515002450391e+00
2.470278535103651030e-01,1.043876766430387848e+00
4.392845456035935348e-01,1.056627079505785494e+00
7.811706625951745364e-01,9.070651342527932259e-01
