# pos_1,average_velocity_axis
1.389139705019461386e-03,9.587104101961012315e-02
2.470278535103650856e-03,9.959125287182862829e-02
4.392845456035934966e-03,1.076966610108617550e-01
7.811706625951745156e-03,1.169059781039248624e-01
1.389139705019461560e-02,1.253039143519020515e-01
2.470278535103651030e-02,1.221846071131000855e-01
4.392845456035934792e-02,1.190218742230942373e-01
7.811706625951746197e-02,1.157750389607178215e-01
1.389139705019461490e-01,1.122788472541137172e-01
2.470278535103651030e-01,1.091998078746821699e-01
4.392845456035935348e-01,1.040211370281119846e-01
7.811706625951745364e-01,9.532176141034096051e-02
