# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,5.046513253489523509e-02,2.500000000000000000e-01
2.470278535103650856e-03,5.172143808909021589e-02,7.500000000000000000e-01
4.392845456035934966e-03,5.715630350119792896e-02,2.250000000000000000e+00
7.811706625951745156e-03,6.503131225239289215e-02,2.750000000000000000e+00
1.389139705019461560e-02,7.507721357277351293e-02,2.750000000000000000e+00
2.470278535103651030e-02,8.221845445026823573e-02,1.750000000000000000e+00
4.392845456035934792e-02,7.951084510872633015e-02,1.750000000000000000e+00
7.811706625951746197e-02,7.849234295265575256e-02,1.250000000000000000e+00
1.389139705019461490e-01,7.540521181989864874e-02,1.500000000000000000e+00
2.470278535103651030e-01,7.247848061825462596e-02,1.500000000000000000e+00
4.392845456035935348e-01,6.888828128980734045e-02,1.250000000000000000e+00
7.811706625951745364e-01,6.437150468058258634e-02,1.000000000000000000e+00
