# pos_1,concentration
1.389139705019461386e-03,3.216234271203113781e+00
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,5.085312892846766131e-01
7.811706625951745156e-03,5.719363182342036556e-01
1.389139705019461560e-02,8.040585678007781123e-01
2.470278535103651030e-02,1.266035009533682754e+00
4.392845456035934792e-02,1.118768836426288438e+00
7.811706625951746197e-02,1.000888556909856231e+00
1.389139705019461490e-01,1.013113795428980390e+00
2.470278535103651030e-01,9.404831499393070393e-01
4.392845456035935348e-01,8.899297562481842672e-01
7.811706625951745364e-01,1.075240278280302997e+00
