# pos_1,average_velocity_axis
1.389139705019461386e-03,7.580443934175145060e-01
2.470278535103650856e-03,7.616520540391545913e-01
4.392845456035934966e-03,7.950870947234585095e-01
7.811706625951745156e-03,7.992409273367686584e-01
1.389139705019461560e-02,7.800244702025570520e-01
2.470278535103651030e-02,7.571922436964023673e-01
4.392845456035934792e-02,6.975818324497101708e-01
7.811706625951746197e-02,6.868803431755390321e-01
1.389139705019461490e-01,6.888493998750664371e-01
2.470278535103651030e-01,6.812782666218061278e-01
4.392845456035935348e-01,6.700972893829925114e-01
7.811706625951745364e-01,6.607198045311944989e-01
