# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,2.009104760900511377e-01,5.000000000000000000e-01
2.470278535103650856e-03,2.092334682860990114e-01,0.000000000000000000e+00
4.392845456035934966e-03,2.084485168479275063e-01,1.250000000000000000e+00
7.811706625951745156e-03,2.175384277755900431e-01,2.000000000000000000e+00
1.389139705019461560e-02,2.274069371115414462e-01,1.000000000000000000e+00
2.470278535103651030e-02,2.349518924392728636e-01,1.000000000000000000e+00
4.392845456035934792e-02,2.309010809355657445e-01,7.500000000000000000e-01
7.811706625951746197e-02,2.287188706233335145e-01,7.500000000000000000e-01
1.389139705019461490e-01,2.239463705002028016e-01,7.500000000000000000e-01
2.470278535103651030e-01,2.199659792098163091e-01,7.500000000000000000e-01
4.392845456035935348e-01,2.152249992608864793e-01,5.000000000000000000e-01
7.811706625951745364e-01,2.084751237525832024e-01,5.000000000000000000e-01
