# us,max_surftimeconst,max_average_velocity_axis
1.000000000000000056e-01,9.795918367346938549e-01,1.201544865174005022e-01
2.000000000000000111e-01,6.734693877551020114e-01,2.133114575130078128e-01
8.000000000000000444e-01,0.000000000000000000e+00,8.074379997755982696e-01
5.000000000000000278e-02,1.224489795918367374e+00,6.913925921814537134e-02
4.000000000000000222e-01,6.122448979591836593e-02,4.051888067354889600e-01
