# pos_1,average_velocity_axis
1.389139705019461386e-03,9.570516206996089459e-02
2.470278535103650856e-03,9.935003368347530839e-02
4.392845456035934966e-03,1.072815700186662280e-01
7.811706625951745156e-03,1.151506191250353667e-01
1.389139705019461560e-02,1.208198576085285220e-01
2.470278535103651030e-02,1.189333852930769680e-01
4.392845456035934792e-02,1.135374965117360302e-01
7.811706625951746197e-02,1.114250112563385658e-01
1.389139705019461490e-01,1.095988753355416345e-01
2.470278535103651030e-01,1.063085932744978895e-01
4.392845456035935348e-01,1.002036854748811628e-01
7.811706625951745364e-01,9.002840696715454227e-02
