# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,4.002867294368461226e-01,2.500000000000000000e-01
2.470278535103650856e-03,4.031634163186106345e-01,5.000000000000000000e-01
4.392845456035934966e-03,4.076083840545097203e-01,5.000000000000000000e-01
7.811706625951745156e-03,4.136142989430668382e-01,1.500000000000000000e+00
1.389139705019461560e-02,4.179715472027969447e-01,1.500000000000000000e+00
2.470278535103651030e-02,4.257812675008242898e-01,7.500000000000000000e-01
4.392845456035934792e-02,4.265246904365995184e-01,5.000000000000000000e-01
7.811706625951746197e-02,4.177642199659225009e-01,2.500000000000000000e-01
1.389139705019461490e-01,4.149049601362233552e-01,2.500000000000000000e-01
2.470278535103651030e-01,4.120307674609360871e-01,2.500000000000000000e-01
4.392845456035935348e-01,4.090745884848976388e-01,2.500000000000000000e-01
7.811706625951745364e-01,4.068916747274657908e-01,2.500000000000000000e-01
