# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,1.005724503860118552e-01,7.500000000000000000e-01
2.470278535103650856e-03,1.025577982678511912e-01,1.000000000000000000e+00
4.392845456035934966e-03,1.090732923536504029e-01,2.000000000000000000e+00
7.811706625951745156e-03,1.179599882853136494e-01,2.250000000000000000e+00
1.389139705019461560e-02,1.285816137372270962e-01,2.250000000000000000e+00
2.470278535103651030e-02,1.356490112688038818e-01,1.000000000000000000e+00
4.392845456035934792e-02,1.353630653241089665e-01,1.000000000000000000e+00
7.811706625951746197e-02,1.315730402756946082e-01,1.000000000000000000e+00
1.389139705019461490e-01,1.301249725287756120e-01,1.000000000000000000e+00
2.470278535103651030e-01,1.264836356123327510e-01,1.000000000000000000e+00
4.392845456035935348e-01,1.200802730099006926e-01,1.000000000000000000e+00
7.811706625951745364e-01,1.132411180260663036e-01,7.500000000000000000e-01
