# time,average_velocity_axis_0_t_inf,95CLI,vs,delay
9.996000000000000441e+00,2.302633224188112560e-01,6.003479783982097057e-03,1.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,2.277403596204106706e-01,6.172371693241797581e-03,1.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,2.207928601127951140e-01,8.151424179418378588e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,1.989480943744685315e-01,3.567969009695402122e-02,1.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,1.887490577285601545e-01,1.002035910677141622e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,9.429962942208136578e-02,2.656127268144409248e-01,1.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,2.072291156794749512e+00,3.415741474278077394e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,9.614934125017193800e-01,1.017352610184100836e+00,1.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,2.782519794343517461e+01,5.213255447648338503e+01,1.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,3.693140347936050283e-01,1.320419169088672184e+00,1.000000000000000000e+00,7.000000000000000000e+00
