# delay,average_velocity_axis_0_t_inf__params_1o0
0.000000000000000000e+00,5.254021360160996856e+00
1.428571428571428492e-01,3.785052433213143441e+00
2.857142857142856984e-01,2.487057010164269055e+00
4.285714285714285476e-01,1.353107545819559832e+00
5.714285714285713969e-01,3.762764949842049567e-01
7.142857142857141906e-01,-4.503636875366085479e-01
8.571428571428570953e-01,-1.133740546937697102e+00
1.000000000000000000e+00,-1.680781628413868134e+00
1.142857142857142794e+00,-2.098414477159937785e+00
1.285714285714285587e+00,-2.393566638370717925e+00
1.428571428571428381e+00,-2.573165657241017978e+00
1.571428571428571397e+00,-2.644139078965659362e+00
1.714285714285714191e+00,-2.613414448739449725e+00
1.857142857142856984e+00,-2.487919311757197605e+00
2.000000000000000000e+00,-2.274581213213721753e+00
2.142857142857142794e+00,-1.980327698303831596e+00
2.285714285714285587e+00,-1.612086312222345441e+00
2.428571428571428381e+00,-1.176784600164069161e+00
2.571428571428571175e+00,-6.813501073238237282e-01
2.714285714285713969e+00,-1.327103788964070219e-01
2.857142857142856762e+00,4.622070399233599858e-01
3.000000000000000000e+00,1.096474603940649217e+00
3.142857142857142794e+00,1.763164767960670787e+00
3.285714285714285587e+00,2.455349986788602834e+00
3.428571428571428381e+00,3.166102715229625275e+00
3.571428571428571175e+00,3.888495408088946448e+00
3.714285714285713969e+00,4.615600520171732057e+00
3.857142857142856762e+00,5.340490506283181560e+00
4.000000000000000000e+00,6.056237821228471319e+00
4.142857142857142350e+00,6.755914919812791908e+00
4.285714285714285587e+00,7.432594256841348113e+00
4.428571428571427937e+00,8.079348287119316296e+00
4.571428571428571175e+00,8.689249465451851506e+00
4.714285714285714413e+00,9.255370246644190502e+00
4.857142857142856762e+00,9.770783085501491882e+00
5.000000000000000000e+00,1.022856043682894978e+01
5.142857142857142350e+00,1.062177475543173699e+01
5.285714285714285587e+00,1.094349849611511161e+01
5.428571428571427937e+00,1.118680411368414696e+01
5.571428571428571175e+00,1.134476406294413664e+01
5.714285714285713524e+00,1.141045079870019663e+01
5.857142857142856762e+00,1.137693677575751394e+01
6.000000000000000000e+00,1.123729444892131824e+01
6.142857142857142350e+00,1.098459627299676811e+01
6.285714285714285587e+00,1.061191470278907900e+01
6.428571428571427937e+00,1.011232219310339531e+01
6.571428571428571175e+00,9.478891198744946678e+00
6.714285714285713524e+00,8.704694174518891714e+00
6.857142857142856762e+00,7.782803575230431647e+00
7.000000000000000000e+00,6.706291855684781922e+00
