# time,average_velocity_axis_0_t_inf,95CLI,vs,surftimeconst,order
9.996000000000000441e+00,2.163293743278561498e-01,6.001373503966137869e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.122231062346813524e-01,6.144415534756505863e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.119087437709458732e-01,5.888044853475342746e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.107323008304884393e-01,5.878646191087843857e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.093415350515205886e-01,6.285022513299099757e-03,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.143532069077630775e-01,5.992493209526442849e-03,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.165034355539090516e-01,6.003068369712578553e-03,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,3.132792055298682099e-01,6.100315229286615987e-03,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,3.501253409566951746e-01,5.765274702907135194e-03,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,3.418758080380589481e-01,5.567088134348170160e-03,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,3.347027874626413158e-01,5.455574790849748029e-03,1.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,3.251030074139030779e-01,5.618731546273481384e-03,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,2.133543634250575083e-01,6.047082774787628651e-03,1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,3.185053401243309601e-01,5.643799492785814449e-03,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,3.544640602334683255e-01,5.362492377104620053e-03,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,3.531145047862895292e-01,5.579364322636907493e-03,1.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,3.338750351703181352e-01,5.191496377598430259e-03,1.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,3.068840025267919325e-01,5.612301353838201889e-03,1.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,2.111605646164715910e-01,6.029802374852365199e-03,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,3.237853733290191327e-01,5.763775688557182253e-03,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,3.590745113475077299e-01,5.699879438490402551e-03,1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,3.499552824059311007e-01,5.543333299297163556e-03,1.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,3.052072867232830666e-01,5.466224954581889658e-03,1.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,2.615243629678433712e-01,5.925845666162964098e-03,1.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,2.097198096035289006e-01,6.275666412205207524e-03,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,3.193553629459596199e-01,5.867116055799681193e-03,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,3.590493082975377837e-01,5.605065744989942353e-03,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,3.534477081848363955e-01,5.623868449030589370e-03,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,3.172488280468437338e-01,5.628264101999840008e-03,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,2.747842765035701240e-01,5.931028717281208035e-03,1.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,2.181359567264405663e-01,6.141038012869571433e-03,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,3.215840035232843119e-01,5.995855663541198137e-03,1.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,3.599346768004076380e-01,5.599986713991625745e-03,1.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,3.552080237368385185e-01,5.339750870669024603e-03,1.000000000000000000e+00,3.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,3.372669107682135237e-01,5.383483185908327466e-03,1.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,3.030254874410701627e-01,5.599415275719500998e-03,1.000000000000000000e+00,5.000000000000000000e+00,6.000000000000000000e+00
