# vs,order,max_surftimeconst,max_average_velocity_axis
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.159294955161271679e-01
1.000000000000000000e+00,2.000000000000000000e+00,2.346938775510204245e+00,3.505900668793077712e-01
1.000000000000000000e+00,3.000000000000000000e+00,2.448979591836734748e+00,3.593613131489907242e-01
1.000000000000000000e+00,4.000000000000000000e+00,2.142857142857142794e+00,3.615567386272861006e-01
1.000000000000000000e+00,5.000000000000000000e+00,2.346938775510204245e+00,3.617877793811770104e-01
1.000000000000000000e+00,6.000000000000000000e+00,2.448979591836734748e+00,3.635157636132861358e-01
