# surftimeconst,average_velocity_axis_0_t_inf__params_1o0_1o0,average_velocity_axis_0_t_inf__params_1o0_2o0,average_velocity_axis_0_t_inf__params_1o0_3o0,average_velocity_axis_0_t_inf__params_1o0_4o0,average_velocity_axis_0_t_inf__params_1o0_5o0,average_velocity_axis_0_t_inf__params_1o0_6o0
0.000000000000000000e+00,2.159294955161271679e-01,2.168368541045495590e-01,2.141436344150745852e-01,2.112326405177511468e-01,2.098087430501079931e-01,2.188707246937404149e-01
1.020408163265306145e-01,2.156870135550133794e-01,2.301123639379531183e-01,2.279746771545770878e-01,2.267267999288758440e-01,2.246524955871630480e-01,2.324653287423269488e-01
2.040816326530612290e-01,2.154390825533736564e-01,2.425336473625976930e-01,2.409709779671063423e-01,2.412309807681182749e-01,2.385977537593820252e-01,2.452574776531445400e-01
3.061224489795918435e-01,2.151865876731862970e-01,2.541258516218611874e-01,2.531541087028748582e-01,2.547698764569604757e-01,2.516659132766929097e-01,2.572668612284549350e-01
4.081632653061224580e-01,2.149304140764295989e-01,2.649141239591218389e-01,2.645456412120955059e-01,2.673681804168845932e-01,2.638783698490235197e-01,2.685131692705198803e-01
5.102040816326530726e-01,2.146714469250817492e-01,2.749236116177575795e-01,2.751671473449808780e-01,2.790505860693728302e-01,2.752565191863018401e-01,2.790160915816010112e-01
6.122448979591836871e-01,2.144105713811211289e-01,2.841794618411463968e-01,2.850401989517437618e-01,2.898417868359071115e-01,2.858217569984556894e-01,2.887953179639600743e-01
7.142857142857143016e-01,2.141486726065260082e-01,2.927068218726663340e-01,2.941863678825968331e-01,2.997664761379695841e-01,2.955954789954131079e-01,2.978705382198587048e-01
8.163265306122449161e-01,2.138866357632746018e-01,3.005308389556956006e-01,3.026272259877526571e-01,3.088493473970423953e-01,3.045990808871018585e-01,3.062614421515586494e-01
9.183673469387755306e-01,2.136253460133452353e-01,3.076766603336121286e-01,3.103843451174240209e-01,3.171150940346076919e-01,3.128539583834498705e-01,3.139877195613216543e-01
1.020408163265306145e+00,2.133656885187161512e-01,3.141694332497938502e-01,3.174792971218236004e-01,3.245884094721475099e-01,3.203815071943851844e-01,3.210690602514093550e-01
1.122448979591836871e+00,2.131085484413656750e-01,3.200343049476190305e-01,3.239336538511641828e-01,3.312939871311439410e-01,3.272031230298355631e-01,3.275251540240834425e-01
