# surftimeconst,average_velocity_axis_0_t_inf__params_1o0
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
0.000000000000000000e+00,2.135870212693949388e-01
