# surftimeconst,average_velocity_axis_0_t_inf__params_1o0
0.000000000000000000e+00,5.321466010973963101e-01
3.265306122448979331e-01,4.879197459718264129e-01
6.530612244897958663e-01,4.462456702683760268e-01
9.795918367346938549e-01,4.070558674983962288e-01
1.306122448979591733e+00,3.702818311732380963e-01
1.632653061224489610e+00,3.358550548042526507e-01
1.959183673469387710e+00,3.037070319027907472e-01
2.285714285714285587e+00,2.737692559802035186e-01
2.612244897959183465e+00,2.459732205478419864e-01
2.938775510204081343e+00,2.202504191170571723e-01
3.265306122448979220e+00,1.965323451992000703e-01
3.591836734693877098e+00,1.747504923056217019e-01
3.918367346938775420e+00,1.548363539476730055e-01
4.244897959183672853e+00,1.367214236367050861e-01
4.571428571428571175e+00,1.203371948840687850e-01
4.897959183673468608e+00,1.056151612011154151e-01
5.224489795918366930e+00,9.248681609919577606e-02
5.551020408163265252e+00,8.088365308966097289e-02
5.877551020408162685e+00,7.073716568386204107e-02
6.204081632653061007e+00,6.197884739314989122e-02
6.530612244897958441e+00,5.454019172887557276e-02
6.857142857142856762e+00,4.835269220239006571e-02
7.183673469387754196e+00,4.334784232504462764e-02
7.510204081632652517e+00,3.945713560818991938e-02
7.836734693877550839e+00,3.661206556317717076e-02
8.163265306122449161e+00,3.474412570135712586e-02
8.489795918367345706e+00,3.378480953408138920e-02
8.816326530612244028e+00,3.366561057270039958e-02
9.142857142857142350e+00,3.431802232856517865e-02
9.469387755102040671e+00,3.567353831302727540e-02
9.795918367346937217e+00,3.766365203743710088e-02
1.012244897959183554e+01,4.021985701314600981e-02
1.044897959183673386e+01,4.327364675150502382e-02
1.077551020408163218e+01,4.675651476386527561e-02
1.110204081632653050e+01,5.059995456157717619e-02
1.142857142857142705e+01,5.473545965599235785e-02
1.175510204081632537e+01,5.909452355846167571e-02
1.208163265306122369e+01,6.360863978033592936e-02
1.240816326530612201e+01,6.820930183296647353e-02
1.273469387755101856e+01,7.282800322770388579e-02
1.306122448979591688e+01,7.739623747589952085e-02
1.338775510204081520e+01,8.184549808890440037e-02
1.371428571428571352e+01,8.610727857806910190e-02
1.404081632653061185e+01,9.011307245474542427e-02
1.436734693877550839e+01,9.379437323028394502e-02
1.469387755102040671e+01,9.708267441603535275e-02
1.502040816326530503e+01,9.990946952335111320e-02
1.534693877551020336e+01,1.022062520635826921e-01
1.567346938775510168e+01,1.039045155480795568e-01
1.600000000000000000e+01,1.049357534881940612e-01
