# time,us^2,95CLI,vs,th
9.996000000000000441e+00,2.716359761344904200e-01,3.499632308248754736e-02,4.000000000000000000e+00,1.000000000000000056e-01
9.996000000000000441e+00,1.755029512722179885e-01,1.943237159831629271e-02,4.000000000000000000e+00,1.499999999999999944e-01
9.996000000000000441e+00,1.711307913024763816e-01,1.565695997848662660e-02,4.000000000000000000e+00,2.000000000000000111e-01
9.996000000000000441e+00,1.659569895693240316e-01,1.405722963267976022e-02,4.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,1.699967776880343950e-01,1.206123503819895790e-02,4.000000000000000000e+00,2.999999999999999889e-01
9.996000000000000441e+00,1.632637701675085928e-01,1.041684496382831206e-02,4.000000000000000000e+00,3.499999999999999778e-01
9.996000000000000441e+00,1.798712036232073541e-01,1.000756821815390087e-02,4.000000000000000000e+00,3.930000000000000160e-01
9.996000000000000441e+00,1.820021890900366257e-01,9.780190948761513167e-03,4.000000000000000000e+00,4.000000000000000222e-01
9.996000000000000441e+00,1.908911609519136632e-01,9.640305223855491490e-03,4.000000000000000000e+00,4.500000000000000111e-01
9.996000000000000441e+00,2.074540850456818852e-01,9.321136716989808502e-03,4.000000000000000000e+00,5.000000000000000000e-01
