# th,average_velocity_axis_0_t_inf__params_4o0
0.000000000000000000e+00,-3.943708948986324875e-02
1.020408163265306041e-02,-2.983526896760263503e-02
2.040816326530612082e-02,-2.041217017777816056e-02
3.061224489795918297e-02,-1.116902130174030928e-02
4.081632653061224164e-02,-2.107050520839574229e-03
5.102040816326530032e-02,6.772513983573566314e-03
6.122448979591836593e-02,1.546844403014862104e-02
7.142857142857142461e-02,2.397951143753510039e-02
8.163265306122448328e-02,3.230448802438252304e-02
9.183673469387754196e-02,4.044214560934041025e-02
1.020408163265306006e-01,4.839125601105825902e-02
1.122448979591836593e-01,5.615059104818558022e-02
1.224489795918367319e-01,6.371892253937190553e-02
1.326530612244897767e-01,7.109502230326673888e-02
1.428571428571428492e-01,7.827766215851961196e-02
1.530612244897958940e-01,8.526561392378000093e-02
1.632653061224489666e-01,9.205764941769745136e-02
1.734693877551020391e-01,9.865254045892146717e-02
1.836734693877550839e-01,1.050490588661015523e-01
1.938775510204081565e-01,1.112459764578872246e-01
2.040816326530612013e-01,1.172420650529279879e-01
2.142857142857142738e-01,1.230360964698733739e-01
2.244897959183673186e-01,1.286268425273728866e-01
2.346938775510203912e-01,1.340130750440760576e-01
2.448979591836734637e-01,1.391935658386323771e-01
2.551020408163265363e-01,1.441670867296913905e-01
2.653061224489795533e-01,1.489324095359025046e-01
2.755102040816326259e-01,1.534883060759153761e-01
2.857142857142856984e-01,1.578335481683794395e-01
2.959183673469387710e-01,1.619669076319442680e-01
3.061224489795917880e-01,1.658871562852592962e-01
3.163265306122448606e-01,1.695930659469740975e-01
3.265306122448979331e-01,1.730834084357381619e-01
3.367346938775510057e-01,1.763569555702009795e-01
3.469387755102040782e-01,1.794124791690120957e-01
3.571428571428570953e-01,1.822487510508210007e-01
3.673469387755101678e-01,1.848645430342772678e-01
3.775510204081632404e-01,1.872586269380303314e-01
3.877551020408163129e-01,1.894297745807297373e-01
3.979591836734693300e-01,1.913767577810250031e-01
4.081632653061224025e-01,1.930983483575656745e-01
4.183673469387754751e-01,1.945933181290011860e-01
4.285714285714285476e-01,1.958604389139810553e-01
4.387755102040816202e-01,1.968984825311549114e-01
4.489795918367346372e-01,1.977062207991721332e-01
4.591836734693877098e-01,1.982824255366823496e-01
4.693877551020407823e-01,1.986258685623349951e-01
4.795918367346938549e-01,1.987353216947795875e-01
4.897959183673469274e-01,1.986095567526656724e-01
5.000000000000000000e-01,1.982473455546427399e-01
