# time/tau_eta,intensity_variance
6.060606060606060774e-01,9.307883059269340606e-04
1.856060606060606188e+00,6.503195832368671193e-04
3.106060606060605966e+00,5.111851179617361287e-04
4.356060606060606410e+00,3.801547387620113154e-04
5.606060606060605522e+00,2.689204172936521817e-04
6.837121212121211045e+00,2.285436509831620128e-04
8.087121212121212821e+00,1.910728280909445328e-04
9.337121212121211045e+00,1.608183348088873380e-04
1.058712121212121282e+01,1.525266350308405712e-04
1.183712121212121104e+01,1.251980597740945855e-04
1.308712121212121282e+01,1.113979999529115476e-04
1.433712121212121104e+01,1.004742006443712084e-04
1.558712121212121282e+01,8.594365062096480541e-05
1.683712121212121104e+01,7.661549050731786584e-05
1.808712121212121104e+01,6.588169173990168900e-05
1.931818181818181657e+01,5.959511653538200599e-05
2.056818181818182012e+01,5.432075789182784330e-05
2.181818181818182012e+01,5.423264909106241880e-05
2.306818181818181657e+01,4.455229313478084938e-05
2.431818181818181657e+01,4.057374679152969714e-05
2.556818181818181657e+01,3.553767204019160527e-05
2.681818181818181301e+01,3.267033322346026957e-05
2.806818181818181301e+01,2.687032991290427895e-05
2.931818181818181657e+01,2.268999603285045202e-05
3.056818181818181657e+01,2.176199963936921344e-05
3.179924242424242209e+01,1.998994522542594986e-05
3.304924242424242209e+01,1.901378896078562787e-05
3.429924242424242209e+01,1.642637066420052008e-05
3.554924242424242209e+01,1.463082542868064103e-05
3.679924242424242209e+01,1.202508149718723280e-05
