# time/tau_eta,average_intensity
6.060606060606060774e-01,5.200934216219809357e-03
1.856060606060606188e+00,5.236446572967867231e-03
3.106060606060605966e+00,4.679934953110365115e-03
4.356060606060606410e+00,4.024987056292463582e-03
5.606060606060605522e+00,3.705528051542255306e-03
6.837121212121211045e+00,3.605203638299808808e-03
8.087121212121212821e+00,3.464284606055773041e-03
9.337121212121211045e+00,3.267209061450132828e-03
1.058712121212121282e+01,3.274284273331171200e-03
1.183712121212121104e+01,3.125700461544174327e-03
1.308712121212121282e+01,3.105715996031421615e-03
1.433712121212121104e+01,3.098987285872201874e-03
1.558712121212121282e+01,3.039422451187812763e-03
1.683712121212121104e+01,3.020036211251128817e-03
1.808712121212121104e+01,2.994623826076309864e-03
1.931818181818181657e+01,2.948723942430619537e-03
2.056818181818182012e+01,2.959098301003750854e-03
2.181818181818182012e+01,2.961466903379634391e-03
2.306818181818181657e+01,2.924007286201912165e-03
2.431818181818181657e+01,2.910956817472839988e-03
2.556818181818181657e+01,2.923403587402112393e-03
2.681818181818181301e+01,2.886781336424498225e-03
2.806818181818181301e+01,2.846433530928945115e-03
2.931818181818181657e+01,2.805851635876450718e-03
3.056818181818181657e+01,2.815694232621554494e-03
3.179924242424242209e+01,2.798800309173413593e-03
3.304924242424242209e+01,2.785168501133664272e-03
3.429924242424242209e+01,2.744463788125559110e-03
3.554924242424242209e+01,2.716698775870658982e-03
3.679924242424242209e+01,2.548331467347680120e-03
