# intensity,pdf
5.000000000000000104e-03,9.764178751951183699e+01
1.499999999999999944e-02,5.219211161255125075e-01
2.500000000000000139e-02,2.081307928794421391e-01
3.500000000000000333e-02,1.385099134198713722e-01
4.499999999999999833e-02,1.053121881503944895e-01
5.500000000000000028e-02,8.413038007307720167e-02
6.500000000000000222e-02,7.145087240230486858e-02
7.500000000000001110e-02,6.243514256259322104e-02
8.499999999999999223e-02,5.599111022342510152e-02
9.500000000000000111e-02,5.106916484491484665e-02
1.050000000000000100e-01,4.705273607379164419e-02
1.149999999999999911e-01,4.443326005878792118e-02
1.250000000000000000e-01,4.218615310092566073e-02
1.350000000000000089e-01,4.078009967538515079e-02
1.450000000000000178e-01,4.014987831798280671e-02
1.549999999999999989e-01,3.922009325880650155e-02
1.650000000000000078e-01,3.935205296541062492e-02
1.749999999999999889e-01,4.020220716715340592e-02
1.849999999999999978e-01,4.183198538262608568e-02
1.950000000000000067e-01,4.394106552093683671e-02
2.050000000000000155e-01,4.717787027833011265e-02
2.149999999999999967e-01,5.041922537043360547e-02
2.250000000000000056e-01,5.464421114912085264e-02
2.349999999999999867e-01,5.769369379426576155e-02
2.449999999999999956e-01,6.002422355515339703e-02
2.550000000000000044e-01,6.120351863428796779e-02
2.650000000000000133e-01,6.000147188160095957e-02
2.750000000000000222e-01,5.514853991286650103e-02
2.850000000000000311e-01,4.848002439464796365e-02
2.949999999999999845e-01,4.048432791920349161e-02
3.049999999999999933e-01,3.213673889281495888e-02
3.150000000000000022e-01,2.404396861021369791e-02
3.250000000000000111e-01,1.730113095839026782e-02
3.350000000000000200e-01,1.197117223417307544e-02
3.450000000000000289e-01,7.747703233722656561e-03
3.549999999999999822e-01,4.925737324102284417e-03
3.649999999999999911e-01,3.011563189224028027e-03
3.750000000000000000e-01,1.791315097695078077e-03
3.850000000000000089e-01,9.836306865836222987e-04
3.950000000000000178e-01,4.823354793116297972e-04
4.050000000000000266e-01,2.199328443402085570e-04
4.150000000000000355e-01,1.183087024726645710e-04
4.249999999999999889e-01,4.929529269694329680e-05
4.349999999999999978e-01,2.123489531560634496e-05
4.450000000000000067e-01,5.308723828901586239e-06
4.550000000000000155e-01,2.275167355243536476e-06
4.650000000000000244e-01,7.583891184145122291e-07
4.749999999999999778e-01,7.583891184145164643e-07
4.849999999999999867e-01,0.000000000000000000e+00
4.949999999999999956e-01,0.000000000000000000e+00
5.050000000000000044e-01,7.583891184145122291e-07
5.150000000000000133e-01,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00
5.350000000000000311e-01,2.275167355243536476e-06
5.450000000000000400e-01,7.583891184145122291e-07
5.550000000000000488e-01,0.000000000000000000e+00
5.650000000000000577e-01,0.000000000000000000e+00
5.749999999999999556e-01,0.000000000000000000e+00
5.849999999999999645e-01,1.516778236829024458e-06
5.949999999999999734e-01,7.583891184145122291e-07
6.049999999999999822e-01,7.583891184145122291e-07
6.149999999999999911e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
6.350000000000000089e-01,0.000000000000000000e+00
6.450000000000000178e-01,0.000000000000000000e+00
6.550000000000000266e-01,0.000000000000000000e+00
6.650000000000000355e-01,0.000000000000000000e+00
6.750000000000000444e-01,7.583891184145122291e-07
6.850000000000000533e-01,0.000000000000000000e+00
6.950000000000000622e-01,7.583891184145122291e-07
7.050000000000000711e-01,0.000000000000000000e+00
7.149999999999999689e-01,0.000000000000000000e+00
7.249999999999999778e-01,7.583891184145122291e-07
7.349999999999999867e-01,1.516778236829024458e-06
7.449999999999999956e-01,0.000000000000000000e+00
7.550000000000000044e-01,0.000000000000000000e+00
7.650000000000000133e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
7.850000000000000311e-01,0.000000000000000000e+00
7.950000000000000400e-01,0.000000000000000000e+00
8.050000000000000488e-01,0.000000000000000000e+00
8.150000000000000577e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.349999999999999645e-01,0.000000000000000000e+00
8.449999999999999734e-01,0.000000000000000000e+00
8.549999999999999822e-01,0.000000000000000000e+00
8.649999999999999911e-01,7.583891184145122291e-07
8.750000000000000000e-01,0.000000000000000000e+00
8.850000000000000089e-01,7.583891184145122291e-07
8.950000000000000178e-01,0.000000000000000000e+00
9.050000000000000266e-01,0.000000000000000000e+00
9.150000000000000355e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.350000000000000533e-01,7.583891184145122291e-07
9.450000000000000622e-01,0.000000000000000000e+00
9.550000000000000711e-01,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00
9.749999999999999778e-01,0.000000000000000000e+00
9.849999999999999867e-01,0.000000000000000000e+00
9.949999999999999956e-01,9.100669420974145902e-06
