# pos_1,average_velocity_axis
1.389139705019461386e-03,9.774822302954268294e-02
2.470278535103650856e-03,1.547962264150958556e-01
4.392845456035934966e-03,2.654277669253641281e-01
7.811706625951745156e-03,4.331156376148324605e-01
1.389139705019461560e-02,6.197093928435786214e-01
2.470278535103651030e-02,7.419434652836101041e-01
4.392845456035934792e-02,8.066007061831987901e-01
7.811706625951746197e-02,8.554964701762720614e-01
1.389139705019461490e-01,9.233351226988689708e-01
2.470278535103651030e-01,1.004609652503625217e+00
4.392845456035935348e-01,1.093379293462663826e+00
7.811706625951745364e-01,1.176957671165874020e+00
