# pos_1,concentration
1.389139705019461386e-03,0.000000000000000000e+00
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,0.000000000000000000e+00
7.811706625951745156e-03,0.000000000000000000e+00
1.389139705019461560e-02,7.027267082912340423e-02
2.470278535103651030e-02,1.467782711152251229e-01
4.392845456035934792e-02,2.349200797737775182e-01
7.811706625951746197e-02,3.659672991841995127e-01
1.389139705019461490e-01,5.882826443695188257e-01
2.470278535103651030e-01,7.954253230821237697e-01
4.392845456035935348e-01,1.046346733695095788e+00
7.811706625951745364e-01,1.284634480453414440e+00
