# surftimeconst,average_velocity_axis_0_t_inf__params_0o8,average_velocity_axis_0_t_inf__params_0o4,average_velocity_axis_0_t_inf__params_0o2,average_velocity_axis_0_t_inf__params_0o1,average_velocity_axis_0_t_inf__params_0o05
0.000000000000000000e+00,1.829605576331382100e+00,1.420146926686937316e+00,1.218282308091846344e+00,1.110597299713835362e+00,1.059240924267168094e+00
6.122448979591836593e-02,1.842090003845372692e+00,1.433258040183312598e+00,1.230296260980381362e+00,1.119846926373194496e+00,1.065966970642341582e+00
1.224489795918367319e-01,1.853022005401084193e+00,1.445108663854878239e+00,1.241307169389098020e+00,1.128397814628362417e+00,1.072203784947372673e+00
1.836734693877550839e-01,1.862450866251074810e+00,1.455742130099477505e+00,1.251349183172818735e+00,1.136273134098279458e+00,1.077967240070831334e+00
2.448979591836734637e-01,1.870425871647902305e+00,1.465201771314954993e+00,1.260456452186365262e+00,1.143496054401887951e+00,1.083273208901287310e+00
3.061224489795918435e-01,1.876996306844125995e+00,1.473530919899155078e+00,1.268663126284559794e+00,1.150089745158128895e+00,1.088137564327309237e+00
3.673469387755101678e-01,1.882211457092303197e+00,1.480772908249921693e+00,1.276003355322224531e+00,1.156077375985943956e+00,1.092576179237467526e+00
4.285714285714285476e-01,1.886120607644993008e+00,1.486971068765099213e+00,1.282511289154181222e+00,1.161482116504273909e+00,1.096604926520331480e+00
4.897959183673469274e-01,1.888773043754753411e+00,1.492168733842531791e+00,1.288221077635251843e+00,1.166327136332061087e+00,1.100239679064470621e+00
5.510204081632652517e-01,1.890218050674142836e+00,1.496409235880063582e+00,1.293166870620258813e+00,1.170635605088246267e+00,1.103496309758454252e+00
6.122448979591836871e-01,1.890504913655719710e+00,1.499735907275538516e+00,1.297382817964023438e+00,1.174430692391770670e+00,1.106390691490852340e+00
6.734693877551020114e-01,1.889682917952042462e+00,1.502192080426801191e+00,1.300903069521368360e+00,1.177735567861575738e+00,1.108938697150234409e+00
7.346938775510203357e-01,1.887801348815669078e+00,1.503821087731695538e+00,1.303761775147115776e+00,1.180573401116603360e+00,1.111156199625169538e+00
7.959183673469387710e-01,1.884909491499158429e+00,1.504666261588065712e+00,1.305993084696087214e+00,1.182967361775794535e+00,1.113059071804227917e+00
8.571428571428570953e-01,1.881056631255067835e+00,1.504770934393756310e+00,1.307631148023104872e+00,1.184940619458090927e+00,1.114663186575978848e+00
9.183673469387755306e-01,1.876292053335957277e+00,1.504178438546610819e+00,1.308710114982990946e+00,1.186516343782433758e+00,1.115984416828991632e+00
9.795918367346938549e-01,1.870665042994383631e+00,1.502932106444473837e+00,1.309264135430566967e+00,1.187717704367764027e+00,1.117038635451836015e+00
1.040816326530612290e+00,1.864224885482905547e+00,1.501075270485189739e+00,1.309327359220655573e+00,1.188567870833023621e+00,1.117841715333081742e+00
1.102040816326530503e+00,1.857020866054082120e+00,1.498651263066602457e+00,1.308933936208078741e+00,1.189090012797153983e+00,1.118409529361298338e+00
1.163265306122448939e+00,1.849102269960471112e+00,1.495703416586556145e+00,1.308118016247658000e+00,1.189307299879096114e+00,1.118757950425054881e+00
1.224489795918367374e+00,1.840518382454630286e+00,1.492275063442894734e+00,1.306913749194215768e+00,1.189242901697791899e+00,1.118902851412921562e+00
1.285714285714285587e+00,1.831318488789119403e+00,1.488409536033463043e+00,1.305355284902574020e+00,1.188919987872181894e+00,1.118860105213467682e+00
1.346938775510204023e+00,1.821551874216496003e+00,1.484150166756104783e+00,1.303476773227554730e+00,1.188361728021208430e+00,1.118645584715262542e+00
1.408163265306122458e+00,1.811267823989317627e+00,1.479540288008664106e+00,1.301312364023979873e+00,1.187591291763812285e+00,1.118275162806875889e+00
1.469387755102040671e+00,1.800515623360144479e+00,1.474623232188985833e+00,1.298896207146671422e+00,1.186631848718935123e+00,1.117764712376877467e+00
1.530612244897959107e+00,1.789344557581533657e+00,1.469442331694913451e+00,1.296262452450451796e+00,1.185506568505518388e+00,1.117130106313836579e+00
1.591836734693877542e+00,1.777803911906042922e+00,1.464040918924291113e+00,1.293445249790142526e+00,1.184238620742503301e+00,1.116387217506322749e+00
1.653061224489795977e+00,1.765942971586232257e+00,1.458462326274963416e+00,1.290478749020566029e+00,1.182851175048831305e+00,1.115551918842905721e+00
1.714285714285714191e+00,1.753811021874658982e+00,1.452749886144774738e+00,1.287397099996544281e+00,1.181367401043443621e+00,1.114640083212155242e+00
1.775510204081632626e+00,1.741457348023881302e+00,1.446946930931568787e+00,1.284234452572898810e+00,1.179810468345281915e+00,1.113667583502640390e+00
1.836734693877551061e+00,1.728931235286458090e+00,1.441096793033189716e+00,1.281024956604452258e+00,1.178203546573287186e+00,1.112650292602930913e+00
1.897959183673469274e+00,1.716281968914947775e+00,1.435242804847481901e+00,1.277802761946026822e+00,1.176569805346401543e+00,1.111604083401596554e+00
1.959183673469387710e+00,1.703558834161907676e+00,1.429428298772289274e+00,1.274602018452443808e+00,1.174932414283565763e+00,1.110544828787206395e+00
2.020408163265305923e+00,1.690811116279897774e+00,1.423696607205456433e+00,1.271456875978525636e+00,1.173314543003721289e+00,1.109488401648330402e+00
2.081632653061224580e+00,1.678088100521474946e+00,1.418091062544827308e+00,1.268401484379094279e+00,1.171739361125809342e+00,1.108450674873538322e+00
2.142857142857142794e+00,1.665439072139198062e+00,1.412654997188246275e+00,1.265469993508971935e+00,1.170230038268772033e+00,1.107447521351399233e+00
2.204081632653061007e+00,1.652913316385625997e+00,1.407431743533557489e+00,1.262696553222980134e+00,1.168809744051550137e+00,1.106494813970482660e+00
2.265306122448979664e+00,1.640560118513316290e+00,1.402464633978604880e+00,1.260115313375941737e+00,1.167501648093085320e+00,1.105608425619358570e+00
2.326530612244897878e+00,1.628428763774827148e+00,1.397797000921232602e+00,1.257760423822677609e+00,1.166328920012318804e+00,1.104804229186596487e+00
2.387755102040816091e+00,1.616568537422718110e+00,1.393472176759285031e+00,1.255666034418010835e+00,1.165314729428191809e+00,1.104098097560765490e+00
2.448979591836734748e+00,1.605028724709546495e+00,1.389533493890606541e+00,1.253866295016763166e+00,1.164482245959646223e+00,1.103505903630435547e+00
2.510204081632652962e+00,1.593858610887870508e+00,1.386024284713041066e+00,1.252395355473756133e+00,1.163854639225622822e+00,1.103043520284176182e+00
2.571428571428571175e+00,1.583107481210249912e+00,1.382987881624432758e+00,1.251287365643812599e+00,1.163455078845063495e+00,1.102726820410556918e+00
2.632653061224489832e+00,1.572824620929241135e+00,1.380467617022625770e+00,1.250576475381754094e+00,1.163306734436909462e+00,1.102571676898147057e+00
2.693877551020408045e+00,1.563059315297403495e+00,1.378506823305464923e+00,1.250296834542402591e+00,1.163432775620102166e+00,1.102593962635516567e+00
2.755102040816326259e+00,1.553860849567295865e+00,1.377148832870792816e+00,1.250482592980580288e+00,1.163856372013583051e+00,1.102809550511234526e+00
2.816326530612244916e+00,1.545278508991475341e+00,1.376436978116455823e+00,1.251167900551109158e+00,1.164600693236293338e+00,1.103234313413870904e+00
2.877551020408163129e+00,1.537361578822501240e+00,1.376414591440296542e+00,1.252386907108811176e+00,1.165688908907174248e+00,1.103884124231995445e+00
2.938775510204081343e+00,1.530159344312931768e+00,1.377125005240159572e+00,1.254173762508508538e+00,1.167144188645167446e+00,1.104774855854177007e+00
3.000000000000000000e+00,1.523721090715324689e+00,1.378611551913889288e+00,1.256562616605023219e+00,1.168989702069214598e+00,1.105922381168985780e+00
