# pos_1,concentration
1.389139705019461386e-03,1.607614127426517214e+00
2.470278535103650856e-03,1.808055717623508363e+00
4.392845456035934966e-03,8.896513922330924196e-01
7.811706625951745156e-03,5.002877428657962477e-01
1.389139705019461560e-02,1.446852714683865226e+00
2.470278535103651030e-02,9.944306446929299659e-01
4.392845456035934792e-02,1.169256115506349669e+00
7.811706625951746197e-02,1.022016388997269321e+00
1.389139705019461490e-01,9.525113705002111741e-01
2.470278535103651030e-01,9.876504357518415267e-01
4.392845456035935348e-01,1.031995614990387278e+00
7.811706625951745364e-01,9.791345824659154484e-01
