# pos_1,concentration
1.389139705019461386e-03,4.019035318566293036e-01
2.470278535103650856e-03,4.520139294058770907e-01
4.392845456035934966e-03,1.016744448266391210e+00
7.811706625951745156e-03,6.432270979703095248e-01
1.389139705019461560e-02,9.645684764559100399e-01
2.470278535103651030e-02,9.718299482226360198e-01
4.392845456035934792e-02,1.029453753869721044e+00
7.811706625951746197e-02,1.122073937570428503e+00
1.389139705019461490e-01,1.069063394738633654e+00
2.470278535103651030e-01,9.537493910464007740e-01
4.392845456035935348e-01,9.875130453787327456e-01
7.811706625951745364e-01,1.005578363160250399e+00
