# pos_1,average_velocity_axis
1.389139705019461386e-03,1.058461538461914486e-01
2.470278535103650856e-03,1.584923076922977458e-01
4.392845456035934966e-03,2.763846153846107878e-01
7.811706625951745156e-03,4.069975502204767337e-01
1.389139705019461560e-02,5.303943725890614136e-01
2.470278535103651030e-02,7.365637025926720094e-01
4.392845456035934792e-02,8.665229417791043831e-01
7.811706625951746197e-02,9.217237003228282433e-01
1.389139705019461490e-01,1.008235464291433736e+00
2.470278535103651030e-01,1.127000993064874113e+00
4.392845456035935348e-01,1.232830935941072070e+00
7.811706625951745364e-01,1.317322022386680391e+00
