# pos_1,average_velocity_axis
1.389139705019461386e-03,7.961298076922468381e-02
2.470278535103650856e-03,1.508227424749210011e-01
4.392845456035934966e-03,2.655084970088394392e-01
7.811706625951745156e-03,4.343445292936813917e-01
1.389139705019461560e-02,6.176035461752753530e-01
2.470278535103651030e-02,7.540822392197663593e-01
4.392845456035934792e-02,8.252126860393335095e-01
7.811706625951746197e-02,8.753489358012167543e-01
1.389139705019461490e-01,9.428667556980468989e-01
2.470278535103651030e-01,1.023615929313509199e+00
4.392845456035935348e-01,1.105639891871336378e+00
7.811706625951745364e-01,1.180686605931369204e+00
