# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,2.653681856847734943e-01,0.000000000000000000e+00
2.470278535103650856e-03,3.347896290939769703e-01,0.000000000000000000e+00
4.392845456035934966e-03,4.027494021748624919e-01,0.000000000000000000e+00
7.811706625951745156e-03,6.241923076923058256e-01,1.250000000000000000e+00
1.389139705019461560e-02,7.149436954797787624e-01,2.500000000000000000e-01
2.470278535103651030e-02,9.202203957867861606e-01,2.500000000000000000e-01
4.392845456035934792e-02,1.005292535711889590e+00,2.500000000000000000e-01
7.811706625951746197e-02,1.076709364362500310e+00,2.500000000000000000e-01
1.389139705019461490e-01,1.138932247428619871e+00,2.500000000000000000e-01
2.470278535103651030e-01,1.196879718308485607e+00,5.000000000000000000e-01
4.392845456035935348e-01,1.270261311000892457e+00,7.500000000000000000e-01
7.811706625951745364e-01,1.334215449467718306e+00,7.500000000000000000e-01
