# pos_1,average_velocity_axis
1.389139705019461386e-03,7.929230769231451759e-02
2.470278535103650856e-03,1.607814938684450079e-01
4.392845456035934966e-03,2.567491576457091584e-01
7.811706625951745156e-03,4.303011091234348329e-01
1.389139705019461560e-02,6.310197631375966676e-01
2.470278535103651030e-02,7.802489421075501363e-01
4.392845456035934792e-02,8.414115845367895474e-01
7.811706625951746197e-02,8.906059216875552575e-01
1.389139705019461490e-01,9.554758345103601114e-01
2.470278535103651030e-01,1.030019488603884703e+00
4.392845456035935348e-01,1.108273912843200426e+00
7.811706625951745364e-01,1.180912291449892182e+00
