# us,max_surftimeconst,max_average_velocity_axis
8.000000000000000444e-01,6.122448979591836871e-01,1.890504913655719710e+00
4.000000000000000222e-01,8.571428571428570953e-01,1.504770934393756310e+00
2.000000000000000111e-01,1.040816326530612290e+00,1.309327359220655573e+00
1.000000000000000056e-01,1.163265306122448939e+00,1.189307299879096114e+00
5.000000000000000278e-02,1.224489795918367374e+00,1.118902851412921562e+00
