# pos_1,average_velocity_axis
1.389139705019461386e-03,7.457631257631065769e-02
2.470278535103650856e-03,1.393977485928692139e-01
4.392845456035934966e-03,2.489835371136971121e-01
7.811706625951745156e-03,4.139579510703362275e-01
1.389139705019461560e-02,6.585013000759346591e-01
2.470278535103651030e-02,8.052368321283582819e-01
4.392845456035934792e-02,8.584457362058364183e-01
7.811706625951746197e-02,9.013790744180842918e-01
1.389139705019461490e-01,9.586262097416821115e-01
2.470278535103651030e-01,1.029867157806047651e+00
4.392845456035935348e-01,1.104035522315760520e+00
7.811706625951745364e-01,1.175563103568225465e+00
