# pos_1,average_velocity_axis
1.389139705019461386e-03,nan
2.470278535103650856e-03,nan
4.392845456035934966e-03,nan
7.811706625951745156e-03,5.085701357466066996e-01
1.389139705019461560e-02,6.432035256410230106e-01
2.470278535103651030e-02,7.696623688811176089e-01
4.392845456035934792e-02,9.280438714927791155e-01
7.811706625951746197e-02,1.003978326115629205e+00
1.389139705019461490e-01,1.098736251760744853e+00
2.470278535103651030e-01,1.186198124539172172e+00
4.392845456035935348e-01,1.270261311000892457e+00
7.811706625951745364e-01,1.334215449467718306e+00
