# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,8.741874499942844379e-01,0.000000000000000000e+00
2.470278535103650856e-03,9.293029974720117270e-01,0.000000000000000000e+00
4.392845456035934966e-03,1.025212815909405162e+00,0.000000000000000000e+00
7.811706625951745156e-03,1.165265393539173910e+00,0.000000000000000000e+00
1.389139705019461560e-02,1.256965400061785809e+00,0.000000000000000000e+00
2.470278535103651030e-02,1.504659340659346478e+00,2.500000000000000000e-01
4.392845456035934792e-02,1.536234019501625303e+00,5.000000000000000000e-01
7.811706625951746197e-02,1.597716837627299435e+00,0.000000000000000000e+00
1.389139705019461490e-01,1.661843891891891412e+00,0.000000000000000000e+00
2.470278535103651030e-01,1.777518686804043124e+00,2.500000000000000000e-01
4.392845456035935348e-01,1.856753160257789359e+00,2.500000000000000000e-01
7.811706625951745364e-01,1.930152718578047155e+00,2.500000000000000000e-01
