# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,5.489230769230105667e-01,2.500000000000000000e+00
2.470278535103650856e-03,5.272364330874600435e-01,0.000000000000000000e+00
4.392845456035934966e-03,6.036097592883326035e-01,0.000000000000000000e+00
7.811706625951745156e-03,7.323271318466202384e-01,0.000000000000000000e+00
1.389139705019461560e-02,9.637806873977085020e-01,2.500000000000000000e-01
2.470278535103651030e-02,1.091036789297660015e+00,2.500000000000000000e-01
4.392845456035934792e-02,1.175837324798587380e+00,2.500000000000000000e-01
7.811706625951746197e-02,1.235514810117136264e+00,2.500000000000000000e-01
1.389139705019461490e-01,1.311878840673351920e+00,2.500000000000000000e-01
2.470278535103651030e-01,1.387302252134682723e+00,5.000000000000000000e-01
4.392845456035935348e-01,1.462567681956377763e+00,5.000000000000000000e-01
7.811706625951745364e-01,1.526656728079039294e+00,5.000000000000000000e-01
