# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,1.189303500679466247e-01,0.000000000000000000e+00
2.470278535103650856e-03,1.876317689530675736e-01,7.500000000000000000e-01
4.392845456035934966e-03,2.855240742254555597e-01,7.500000000000000000e-01
7.811706625951745156e-03,4.570628097392793188e-01,2.500000000000000000e-01
1.389139705019461560e-02,7.015618856629748379e-01,2.500000000000000000e-01
2.470278535103651030e-02,8.197995434452035601e-01,2.500000000000000000e-01
4.392845456035934792e-02,8.633986392716584968e-01,2.500000000000000000e-01
7.811706625951746197e-02,9.013790744180842918e-01,5.000000000000000000e-01
1.389139705019461490e-01,9.591373433430729900e-01,7.500000000000000000e-01
2.470278535103651030e-01,1.030174191677204254e+00,7.500000000000000000e-01
4.392845456035935348e-01,1.108273912843200426e+00,1.000000000000000000e+00
7.811706625951745364e-01,1.181281266532556717e+00,1.250000000000000000e+00
