# surftimeconst,average_velocity_axis_0_t_inf__params_8o0_1o0,average_velocity_axis_0_t_inf__params_8o0_8o0,average_velocity_axis_0_t_inf__params_8o0_4o0,average_velocity_axis_0_t_inf__params_8o0_2o0
0.000000000000000000e+00,1.697081814639503472e+00,1.701573985340505191e+00,1.725511065475723971e+00,1.715754862284641025e+00
1.632653061224489666e-01,1.740336146177326793e+00,1.702412740734984498e+00,1.746218892476417484e+00,1.754274364736463587e+00
3.265306122448979331e-01,1.777902456158093614e+00,1.702591259252959510e+00,1.762971358683709910e+00,1.787472887053677129e+00
4.897959183673469274e-01,1.809980822186782357e+00,1.702130976182552713e+00,1.775913258115094928e+00,1.815537695559527265e+00
6.530612244897958663e-01,1.836771321868370332e+00,1.701053326811885036e+00,1.785189384788065992e+00,1.838656056577261166e+00
8.163265306122448051e-01,1.858474032807836185e+00,1.699379746429078519e+00,1.790944532720116555e+00,1.857015236430124672e+00
9.795918367346938549e-01,1.875289032610157225e+00,1.697131670322254537e+00,1.793323495928740297e+00,1.870802501441363841e+00
1.142857142857142794e+00,1.887416398880311208e+00,1.694330533779535131e+00,1.792471068431431114e+00,1.880205117934225401e+00
1.306122448979591733e+00,1.895056209223276333e+00,1.690997772089041895e+00,1.788532044245682240e+00,1.885410352231955633e+00
1.469387755102040671e+00,1.898408541244030800e+00,1.687154820538896427e+00,1.781651217388987796e+00,1.886605470657800376e+00
1.632653061224489610e+00,1.897673472547551921e+00,1.682823114417220323e+00,1.771973381878841236e+00,1.883977739535005913e+00
1.795918367346938549e+00,1.893051080738817671e+00,1.678024089012135178e+00,1.759643331732736016e+00,1.877714425186818525e+00
1.959183673469387710e+00,1.884741443422806695e+00,1.672779179611762812e+00,1.744805860968165812e+00,1.868002793936485162e+00
2.122448979591836427e+00,1.872944638204495860e+00,1.667109821504225042e+00,1.727605763602624300e+00,1.855030112107251217e+00
2.285714285714285587e+00,1.857860742688862921e+00,1.661037449977643465e+00,1.708187833653604937e+00,1.838983646022363194e+00
2.448979591836734304e+00,1.839689834480886965e+00,1.654583500320139455e+00,1.686696865138601620e+00,1.820050662005067821e+00
2.612244897959183465e+00,1.818631991185544861e+00,1.647769407819835052e+00,1.663277652075108026e+00,1.798418426378610935e+00
2.775510204081632626e+00,1.794887290407815250e+00,1.640616607764851631e+00,1.638074988480617389e+00,1.774274205466238596e+00
2.938775510204081343e+00,1.768655809752675445e+00,1.633146535443311009e+00,1.611233668372623606e+00,1.747805265591197532e+00
3.102040816326530503e+00,1.740137626825103423e+00,1.625380626143335006e+00,1.582898485768620578e+00,1.719198873076733802e+00
3.265306122448979220e+00,1.709532819230077827e+00,1.617340315153045216e+00,1.553214234686101314e+00,1.688642294246093467e+00
3.428571428571428381e+00,1.677041464572575080e+00,1.609047037760563015e+00,1.522325709142560157e+00,1.656322795422523253e+00
3.591836734693877098e+00,1.642863640457574048e+00,1.600522229254010220e+00,1.490377703155490341e+00,1.622427642929269442e+00
3.755102040816326259e+00,1.607199424490052930e+00,1.591787324921508873e+00,1.457515010742385098e+00,1.587144103089577873e+00
3.918367346938775420e+00,1.570248894274988372e+00,1.582863760051179902e+00,1.423882425920738326e+00,1.550659442226694829e+00
4.081632653061224580e+00,1.532212127417359238e+00,1.573772969931145793e+00,1.389624742708043925e+00,1.513160926663867034e+00
4.244897959183672853e+00,1.493289201522143728e+00,1.564536389849527476e+00,1.354886755121796016e+00,1.474835822724340773e+00
4.408163265306122014e+00,1.453680194194318487e+00,1.555175455094447434e+00,1.319813257179486721e+00,1.435871396731361216e+00
4.571428571428571175e+00,1.413585183038862159e+00,1.545711600954026599e+00,1.284549042898610827e+00,1.396454915008175757e+00
4.734693877551020336e+00,1.373204245660753164e+00,1.536166262716387010e+00,1.249238906296661344e+00,1.356773643878030011e+00
4.897959183673468608e+00,1.332737459664968593e+00,1.526560875669650486e+00,1.214027641391133061e+00,1.317014849664171372e+00
5.061224489795917769e+00,1.292384902656486645e+00,1.516916875101938400e+00,1.179060042199518321e+00,1.277365798689845011e+00
5.224489795918366930e+00,1.252346652240284852e+00,1.507255696301372350e+00,1.144480902739311690e+00,1.238013757278297211e+00
5.387755102040816091e+00,1.212822786021340971e+00,1.497598774556074153e+00,1.110435017028005511e+00,1.199145991752774032e+00
5.551020408163265252e+00,1.174013381604634088e+00,1.487967545154165849e+00,1.077067179083094350e+00,1.160949768436523089e+00
5.714285714285713524e+00,1.136118516595140626e+00,1.478383443383768370e+00,1.044522182922071663e+00,1.123612353652789553e+00
5.877551020408162685e+00,1.099338268597840118e+00,1.468867904533003976e+00,1.012944822562431568e+00,1.087321013724819485e+00
6.040816326530611846e+00,1.063872715217708320e+00,1.459442363889993821e+00,9.824798920216670783e-01,1.052263014975860056e+00
6.204081632653061007e+00,1.029921934059724764e+00,1.450128256742860389e+00,9.532721853172716475e-01,1.018625623729156437e+00
6.367346938775509280e+00,9.976860027288676491e-01,1.440947018379724387e+00,9.254664964667396188e-01,9.865961063079564664e-01
6.530612244897958441e+00,9.673649988301136204e-01,1.431920084088708300e+00,8.992076194875642248e-01,9.563617290355050926e-01
6.693877551020407601e+00,9.391589999684408774e-01,1.423068889157933281e+00,8.746403483972389203e-01,9.281097582350485986e-01
6.857142857142856762e+00,9.132680837488269532e-01,1.414414868875521147e+00,8.519094772132569382e-01,9.020274602298337108e-01
7.020408163265305923e+00,8.898923277762511574e-01,1.405979458529593495e+00,8.311597999531137315e-01,8.783021013431064894e-01
7.183673469387754196e+00,8.692318096556892471e-01,1.397784093408272366e+00,8.125361106343005346e-01,8.571209478981134389e-01
7.346938775510203357e+00,8.514866069921200875e-01,1.389850208799678910e+00,7.961832032743134668e-01,8.386712662181019518e-01
