# log(rho), p(log(rho))
-5.000000000000000000e+00,1.110928968504323646e-11
-4.944944944944944965e+00,1.239319045301793644e-11
-4.889889889889889929e+00,1.382625967288022923e-11
-4.834834834834834894e+00,1.542589483938797289e-11
-4.779779779779779858e+00,1.721156402576718268e-11
-4.724724724724724823e+00,1.920506022858383582e-11
-4.669669669669669787e+00,2.144676381321299573e-11
-4.614614614614614752e+00,2.438880954104901266e-11
-4.559559559559559716e+00,2.723159988206198615e-11
-4.504504504504504681e+00,3.040137040803208123e-11
-4.449449449449449645e+00,3.394433475155369493e-11
-4.394394394394394610e+00,3.789755104950100936e-11
-4.339339339339339574e+00,4.314594569611464530e-11
-4.284284284284284539e+00,4.824876400526054434e-11
-4.229229229229229503e+00,5.395664052852619875e-11
-4.174174174174174468e+00,6.059991655848508439e-11
-4.119119119119119432e+00,6.787445198614112378e-11
-4.064064064064064397e+00,7.830060257331698479e-11
-4.009009009009009361e+00,8.821502602705447160e-11
-3.953953953953953881e+00,1.006244288478867730e-10
-3.898898898898898846e+00,1.127792088076249567e-10
-3.843843843843843811e+00,1.247150814007222266e-10
-3.788788788788788775e+00,1.392206487336510141e-10
-3.733733733733733740e+00,1.560068456892528924e-10
-3.678678678678678704e+00,1.766880413265194003e-10
-3.623623623623623669e+00,1.988635903250649880e-10
-3.568568568568568633e+00,2.247917892805408626e-10
-3.513513513513513153e+00,2.548438883913776547e-10
-3.458458458458458118e+00,2.914939067768039295e-10
-3.403403403403403082e+00,3.425816241386027728e-10
-3.348348348348348047e+00,3.972291423994390718e-10
-3.293293293293293011e+00,4.383390378817349205e-10
-3.238238238238237976e+00,4.752033516322864688e-10
-3.183183183183182940e+00,5.291742840107897030e-10
-3.128128128128127905e+00,6.015233482763261473e-10
-3.073073073073072869e+00,6.496640871184736632e-10
-3.018018018018017834e+00,7.283358455911127665e-10
-2.962962962962962798e+00,8.163488658926045902e-10
-2.907907907907907763e+00,8.950186355855571190e-10
-2.852852852852852727e+00,1.000966493776575997e-09
-2.797797797797797692e+00,1.133741369966730339e-09
-2.742742742742742657e+00,1.283572807320965741e-09
-2.687687687687687621e+00,1.452137541316305861e-09
-2.632632632632632586e+00,1.640683332457722046e-09
-2.577577577577577550e+00,1.902269444707017380e-09
-2.522522522522522515e+00,2.179775013939557678e-09
-2.467467467467467479e+00,2.426920470482713608e-09
-2.412412412412412444e+00,2.761603940614067280e-09
-2.357357357357357408e+00,3.332048380184778198e-09
-2.302302302302302373e+00,3.916946273796393742e-09
-2.247247247247247337e+00,4.394617585700660613e-09
-2.192192192192192302e+00,4.749832534565769208e-09
-2.137137137137137266e+00,5.938892827922759587e-09
-2.082082082082082231e+00,1.160972165602087812e-08
-2.027027027027026751e+00,6.232736325060203232e-09
-1.971971971971971715e+00,5.908363816964201360e-09
-1.916916916916916680e+00,5.919859424384350656e-09
-1.861861861861861644e+00,6.122799599046236215e-09
-1.806806806806806609e+00,6.555658974895979730e-09
-1.751751751751751573e+00,6.930272881187447034e-09
-1.696696696696696538e+00,7.193590863862662018e-09
-1.641641641641641503e+00,7.669401083379929320e-09
