# time, lyapunov_exponent
2.000000000000000042e-03,5.005005005005003227e+00
4.000000000000000083e-03,2.389483220715532319e+00
1.600000000000000033e-02,1.646587521379798691e-01
3.200000000000000067e-02,4.988242983371486416e-01
6.400000000000000133e-02,1.110669234691411766e+00
1.280000000000000027e-01,1.892543919292347665e+00
2.560000000000000053e-01,2.408510183393373971e+00
5.120000000000000107e-01,2.568816296798626997e+00
1.024000000000000021e+00,2.637464311137826645e+00
2.048000000000000043e+00,2.723916934117274202e+00
4.096000000000000085e+00,2.587611670525022944e+00
8.192000000000000171e+00,2.546444198356579314e+00
