# time, log_rho_var
2.000000000000000042e-03,0.000000000000000000e+00
4.000000000000000083e-03,6.532746970489400459e-05
1.600000000000000033e-02,4.044711324303441186e-03
3.200000000000000067e-02,1.628616340163637627e-02
6.400000000000000133e-02,6.406971281748113922e-02
1.280000000000000027e-01,2.186067573058098623e-01
2.560000000000000053e-01,5.864417572097970766e-01
5.120000000000000107e-01,1.318601577382890300e+00
1.024000000000000021e+00,2.784959477265407379e+00
2.048000000000000043e+00,5.645984612769783695e+00
4.096000000000000085e+00,8.240147672843340487e+00
8.192000000000000171e+00,2.339497354705402898e+01
