# us/u_eta,proportion,omegamax * t_eta,reacttime/t_eta,max_surftimeconst,max_average_velocity_axis
1.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01,5.000000000000000278e-02,3.000000000000000000e+00,1.849617401627612710e+08
1.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,5.000000000000000278e-02,3.000000000000000000e+00,1.713113583748656616e+11
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000278e-02,0.000000000000000000e+00,1.308172902582654206e+04
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,3.000000000000000000e+00,8.885406121789714813e+09
1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000278e-02,3.000000000000000000e+00,2.786810637781983887e+12
1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000278e-02,3.000000000000000000e+00,1.536435229441441774e+09
1.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000278e-02,3.000000000000000000e+00,6.674967314958378906e+11
1.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01,5.000000000000000000e-01,3.000000000000000000e+00,1.460481551264001369e+09
1.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,5.000000000000000000e-01,0.000000000000000000e+00,-2.424009144306117207e+02
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,3.000000000000000000e+00,5.566621712838491821e+10
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,3.000000000000000000e+00,1.543698277259351807e+12
1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e-01,3.000000000000000000e+00,3.599513980764555054e+11
1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01,3.000000000000000000e+00,4.469673320373876953e+10
1.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.209226175922872426e+04
1.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.041148604753094098e+01
1.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,1.000000000000000000e+00,3.000000000000000000e+00,7.655242035201473999e+10
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,3.066224492891681166e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.105403928573976009e+04
1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,4.864270565511044922e+11
1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.864215699076549981e+02
1.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,1.449866447879351501e+11
