# surftimeconst,average_velocity_axis_0_t_inf
0.000000000000000000e+00,-9.641847630414972059e+01,-2.767578611467110386e+04,1.308172902582654206e+04,7.447872445154372372e+02,-4.636397838226542808e+05,9.943147541756609087e+01,-1.120927569211577502e+05,-2.107363274145644141e+02,-2.424009144306117207e+02,-9.152099135640995883e+03,-2.600055984757359547e+05,-6.115567539290094282e+04,-7.570465869541933898e+03,2.209226175922872426e+04,1.041148604753094098e+01,-1.267418816264289489e+04,3.066224492891681166e+03,3.105403928573976009e+04,-8.047467474518337986e+04,2.864215699076549981e+02,-2.377737156516861069e+04
6.122448979591836593e-02,1.449509289284176248e+02,5.866251674989132443e+05,-2.701422624185709283e+05,4.670194244025574881e+04,9.443911506714759395e+06,7.832527349671623597e+03,2.254373845166825224e+06,5.187828248317758153e+03,-5.387608206815832091e+03,1.894458306647623540e+05,5.208120106776960194e+06,1.210544639322668081e+06,1.504700214443529549e+05,-4.571372457202121150e+05,-1.643160369400581840e+04,2.598605988910250016e+05,-6.448837790293344005e+04,-6.492754405211883131e+05,1.651660844232178293e+06,-6.816025339449242892e+01,4.938050530049739173e+05
1.224489795918367319e-01,5.663634742208530952e+03,7.724066118103569373e+06,-3.571368619685900398e+06,4.895521134490640252e+05,1.251093390777931958e+08,8.334316013858045335e+04,2.992436228751644492e+07,6.687091309320254368e+04,-5.033061733921241103e+04,2.503448902871611994e+06,6.917485152717709541e+07,1.610867303615769744e+07,2.001130479808083968e+06,-6.041418284932499751e+06,-1.843961606154004112e+05,3.439120975045123138e+06,-8.503051152550954139e+05,-8.567266061571292579e+06,2.185527067532256991e+07,-1.273436418624259022e+04,6.522544557501286268e+06
1.836734693877550839e-01,2.616132031354255014e+04,3.026491588177957386e+07,-1.400872548460774124e+07,1.786112890902817249e+06,4.910156199649430513e+08,3.056776729218494147e+05,1.175062065389153808e+08,2.605021437228494906e+05,-1.753739065740769729e+05,9.818700502985006198e+06,2.716790639766834974e+08,6.329717146540186554e+07,7.861957354313466698e+06,-2.369537418551667780e+07,-6.887067985380305909e+05,1.349388513878288306e+07,-3.332927874356282875e+06,-3.358798143614341319e+07,8.574853809003621340e+07,-6.241572236179290485e+04,2.557873436275038123e+07
2.448979591836734637e-01,7.133969499293685658e+04,7.708944327460724115e+07,-3.570034099901567400e+07,4.393201865433394909e+06,1.251645731203695297e+09,7.538824087791842176e+05,2.996082405681514740e+08,6.617451456528686685e+05,-4.208199541738662519e+05,2.502104401650505140e+07,6.927596327692553997e+08,1.614399818773449063e+08,2.005049709005232155e+07,-6.038362827711182088e+07,-1.714187056721791625e+06,3.439293128858755529e+07,-8.490900541999185458e+06,-8.557648517651641369e+07,2.185496463598833382e+08,-1.738157669132016599e+05,6.517866768957889080e+07
3.061224489795918435e-01,1.509004461303978169e+05,1.570779171126668453e+08,-7.276434330474129319e+07,8.767636627672672272e+06,2.551482649829580307e+09,1.507003710790290497e+06,6.108387983440122604e+08,1.346263544398869621e+06,-8.269712384010369424e+05,5.099632282893184572e+07,1.412455433218851566e+09,3.292010462222765088e+08,4.088429613211646676e+07,-1.230708038893569708e+08,-3.445660474426577799e+06,7.010503762294237316e+07,-1.730276700497649610e+07,-1.743978408949691653e+08,4.454767787563742399e+08,-3.716380299736252637e+05,1.328386377588134408e+08
3.673469387755101678e-01,2.745452610759317176e+05,2.791106062120385170e+08,-1.293188605436161160e+08,1.536623476825252362e+07,4.535009352878127098e+09,2.644087922034872230e+06,1.085806213835285425e+09,2.389720965476461221e+06,-1.434130237518045353e+06,9.063038032576546073e+07,2.510805340639430046e+09,5.852443064504860640e+08,7.268090092559769750e+07,-2.187215243518910706e+08,-6.067950590912281536e+06,1.245989823403305262e+08,-3.074707115008088946e+07,-3.099171122037803531e+08,7.917481185510188341e+08,-6.805860436762196478e+05,2.360749377912805378e+08
4.285714285714285476e-01,4.519758271795450710e+05,4.520677793888029456e+08,-2.094820208574718237e+08,2.464581387780483812e+07,7.346708817384870529e+09,4.244181385592637584e+06,1.759118821010759115e+09,3.867781034401255660e+06,-2.282599429787348956e+06,1.468090598925060630e+08,4.067848230344952106e+09,9.482337045122640133e+08,1.177578579155878872e+08,-3.543004129943534136e+08,-9.765880945438802242e+06,2.018435436392353773e+08,-4.980235686410508305e+07,-5.019993627152290940e+08,1.282581849015327930e+09,-1.125363340154141420e+06,3.824038610078070164e+08
4.897959183673469274e-01,6.928938317912440980e+05,6.848297054590400457e+08,-3.173719523881399035e+08,3.706319154696148634e+07,1.113106402038533592e+10,6.386330444543289952e+06,2.665384953839220524e+09,5.856107376688860357e+06,-3.412681293471402954e+06,2.224182049146536887e+08,6.163622977649374008e+09,1.436833182357899189e+09,1.784327135471788049e+08,-5.367720931463828683e+08,-1.472427507726603188e+07,3.058074997181400061e+08,-7.544716803384172916e+07,-7.605096560415939093e+08,1.943196153420810938e+09,-1.730673451540546492e+06,5.793417006292192936e+08
5.510204081632652517e-01,1.007000962261035223e+06,9.862766532388298512e+08,-4.571067832774519324e+08,5.307518536635432392e+07,1.603255793891505432e+10,9.149581441966533661e+06,3.839212946289457321e+09,8.430363617854885757e+06,-4.864678306832664646e+06,3.203436587777084112e+08,8.878168457866653442e+09,2.069706681937681437e+09,2.570230142654622197e+08,-7.731011881376183033e+08,-2.112795652565385774e+07,4.404596287755277157e+08,-1.086600485460835248e+08,-1.095313055795153856e+09,2.798809215038978577e+09,-2.521219909968591295e+06,8.344047498763440847e+08
