# surftimeconst/t_eta,average_velocity_axis_us_3.5_rt_0.0,average_velocity_axis_us_4.0_rt_0.0,average_velocity_axis_us_4.5_rt_0.0,average_velocity_axis_us_5.0_rt_0.0
0.000000000000000000e+00,2.310000000000000109e-01,2.640000000000000124e-01,2.970000000000000417e-01,3.300000000000000155e-01
2.040816326530612290e-01,2.483528495213111198e-01,2.832120473211554579e-01,3.168391323229001744e-01,3.459925059857166807e-01
4.081632653061224580e-01,2.643670418473930139e-01,3.008980506161237911e-01,3.351661971510683791e-01,3.608106499641270393e-01
6.122448979591836871e-01,2.790850114866343934e-01,3.171076631165531401e-01,3.520274670538732220e-01,3.744889789551946735e-01
8.163265306122449161e-01,2.925491929474241526e-01,3.318905380540916883e-01,3.674692146006829918e-01,3.870620399788832766e-01
1.020408163265306145e+00,3.048020207381509361e-01,3.452963286603877302e-01,3.815377123608660326e-01,3.985643800551564309e-01
1.224489795918367374e+00,3.158859293672036106e-01,3.573746881670892828e-01,3.942792329037907995e-01,4.090305462039778850e-01
1.428571428571428603e+00,3.258433533429709872e-01,3.681752698058445850e-01,4.057400487988255255e-01,4.184950854453111102e-01
1.632653061224489832e+00,3.347167271738416550e-01,3.777477268083018203e-01,4.159664326153387215e-01,4.269925447991198553e-01
1.836734693877551061e+00,3.425484853682046471e-01,3.861417124061092276e-01,4.250046569226987314e-01,4.345574712853678134e-01
2.040816326530612290e+00,3.493810624344484417e-01,3.934068798309148796e-01,4.329009942902738994e-01,4.412244119240185669e-01
2.244897959183673741e+00,3.552568928809620719e-01,3.995928823143671260e-01,4.397017172874326807e-01,4.470279137350356979e-01
2.448979591836734748e+00,3.602184112161341267e-01,4.047493730881138729e-01,4.454530984835433083e-01,4.520025237383828998e-01
2.653061224489795755e+00,3.643080519483535284e-01,4.089260053838035258e-01,4.502014104479742373e-01,4.561827889540239211e-01
2.857142857142857206e+00,3.675682495860088661e-01,4.121724324330842126e-01,4.539929257500939230e-01,4.596032564019221778e-01
3.061224489795918657e+00,3.700414386374891174e-01,4.145383074676041169e-01,4.568739169592706539e-01,4.622984731020415294e-01
3.265306122448979664e+00,3.717700536111828713e-01,4.160732837190113664e-01,4.588906566448728297e-01,4.643029860743454473e-01
3.469387755102040671e+00,3.727965290154791056e-01,4.168270144189542004e-01,4.600894173762687944e-01,4.656513423387976802e-01
3.673469387755102122e+00,3.731632993587663538e-01,4.168491527990808021e-01,4.605164717228268922e-01,4.663780889153618658e-01
3.877551020408163573e+00,3.729127991494335381e-01,4.161893520910392996e-01,4.602180922539155783e-01,4.665177728240015864e-01
4.081632653061224580e+00,3.720874628958694141e-01,4.148972655264778764e-01,4.592405515389033632e-01,4.661049410846805907e-01
4.285714285714285587e+00,3.707297251064627375e-01,4.130225463370447714e-01,4.576301221471582581e-01,4.651741407173623499e-01
4.489795918367347483e+00,3.688820202896022638e-01,4.106148477543881126e-01,4.554330766480489401e-01,4.637599187420106128e-01
4.693877551020408490e+00,3.665867829536768041e-01,4.077238230101561389e-01,4.526956876109436423e-01,4.618968221785890726e-01
4.897959183673469497e+00,3.638864476070751142e-01,4.043991253359968674e-01,4.494642276052108754e-01,4.596193980470612561e-01
5.102040816326530503e+00,3.608234487581860050e-01,4.006904079635588145e-01,4.457849692002189279e-01,4.569621933673909675e-01
5.306122448979591510e+00,3.574402209153981214e-01,3.966473241244897752e-01,4.417041849653361441e-01,4.539597551595416780e-01
5.510204081632653406e+00,3.537791985871003853e-01,3.923195270504380994e-01,4.372681474699308679e-01,4.506466304434770254e-01
5.714285714285714413e+00,3.498828162816814413e-01,3.877566699730520261e-01,4.325231292833716101e-01,4.470573662391607583e-01
5.918367346938775420e+00,3.457935085075301562e-01,3.830084061239797388e-01,4.275154029750266593e-01,4.432265095665564036e-01
6.122448979591837315e+00,3.415537097730352301e-01,3.781243887348692545e-01,4.222912411142644706e-01,4.391886074456278211e-01
6.326530612244898322e+00,3.372058545865855850e-01,3.731542710373688676e-01,4.168969162704533327e-01,4.349782068963384263e-01
6.530612244897959329e+00,3.327923774565697546e-01,3.681477062631267616e-01,4.113787010129616450e-01,4.306298549386520236e-01
6.734693877551020336e+00,3.283557128913767165e-01,3.631543476437911755e-01,4.057828679111578074e-01,4.261780985925320286e-01
6.938775510204081343e+00,3.239382953993951708e-01,3.582238484110101262e-01,4.001556895344101639e-01,4.216574848779424123e-01
7.142857142857143238e+00,3.195825594890139287e-01,3.534058617964319637e-01,3.945434384520870030e-01,4.171025608148464792e-01
7.346938775510204245e+00,3.153309396686215793e-01,3.487500410317045940e-01,3.889923872335570021e-01,4.125478734232081446e-01
7.551020408163265252e+00,3.112258704466073223e-01,3.443060393484766446e-01,3.835488084481882831e-01,4.080279697229908242e-01
7.755102040816327147e+00,3.073097863313592470e-01,3.401235099783959659e-01,3.782589746653491347e-01,4.035773967341583779e-01
7.959183673469388154e+00,3.036251218312668865e-01,3.362521061531108524e-01,3.731691584544081786e-01,3.992307014766742213e-01
8.163265306122449161e+00,3.002143114547184410e-01,3.327414811042692100e-01,3.683256323847337588e-01,3.950224309705022141e-01
8.367346938775510168e+00,2.971197897101028329e-01,3.296412880635196108e-01,3.637746690256939419e-01,3.909871322356058276e-01
8.571428571428571175e+00,2.943839911058090397e-01,3.270011802625102382e-01,3.595625409466576827e-01,3.871593522919488661e-01
8.775510204081632182e+00,2.920493501502257616e-01,3.248708109328888871e-01,3.557355207169926592e-01,3.835736381594947453e-01
8.979591836734694965e+00,2.901583013517415877e-01,3.232998333063040741e-01,3.523398809060679371e-01,3.802645368582072694e-01
9.183673469387755972e+00,2.887532792187452735e-01,3.223379006144037051e-01,3.494218940832515830e-01,3.772665954080500761e-01
9.387755102040816979e+00,2.878767182596258523e-01,3.220346660888364632e-01,3.470278328179116634e-01,3.746143608289868032e-01
9.591836734693877986e+00,2.875710529827720796e-01,3.224397829612500321e-01,3.452039696794171331e-01,3.723423801409809220e-01
9.795918367346938993e+00,2.878787178965723226e-01,3.236029044632923735e-01,3.439965772371355590e-01,3.704852003639964586e-01
1.000000000000000000e+01,2.888421475094158364e-01,3.255736838266126143e-01,3.434519280604363400e-01,3.690773685179966623e-01
