# average_velocity_axis_0,95CLI,us/u_eta,surftimeconst/t_eta,reorientationtime/t_eta
6.573324885253906125e-02,4.787386374924052120e-03,5.000000000000000000e-01,5.000000000000000000e+00,0.000000000000000000e+00
1.311622223388672070e-01,9.477722955598795462e-03,1.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
1.771442071428571685e-01,1.483144209044954913e-02,1.500000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
2.357901749023437743e-01,1.868759020102782678e-02,2.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
2.883700076335878326e-01,2.467885518852781096e-02,2.500000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
3.231475090109889869e-01,2.864193941708884431e-02,3.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
3.827869386813186892e-01,3.015517250081880402e-02,3.500000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
4.477567235164834902e-01,3.068441982278912600e-02,4.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
4.558088692307692424e-01,2.929044689135927235e-02,4.500000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
4.610486470329671072e-01,3.064616076320920285e-02,5.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
5.919646513274335886e-01,6.005673831134195756e-02,6.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
6.293887674698793733e-01,8.014079927994473274e-02,7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.125961531250000203e-01,7.984749923768864888e-02,8.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.396003380000000016e-01,8.884423218063457195e-02,9.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
8.685771499999999090e-01,9.291043995233003172e-02,1.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00
1.148022972222222382e+00,1.208124902035661863e-01,1.500000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00
1.446822170000000130e+00,2.107502955527660038e-01,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
