# us/u_eta,reorientationtime/t_eta,max_surftimeconst/t_eta,max_average_velocity_axis
5.000000000000000000e-01,0.000000000000000000e+00,4.081632653061224580e+00,6.458941923478535296e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.081632653061224580e+00,1.272647741645480945e-01
1.500000000000000000e+00,0.000000000000000000e+00,3.877551020408163573e+00,1.774735770139833357e-01
2.000000000000000000e+00,0.000000000000000000e+00,3.877551020408163573e+00,2.340900612159207139e-01
2.500000000000000000e+00,0.000000000000000000e+00,3.877551020408163573e+00,2.834339230263420162e-01
3.000000000000000000e+00,0.000000000000000000e+00,3.673469387755102122e+00,3.249517387754568554e-01
3.500000000000000000e+00,0.000000000000000000e+00,3.673469387755102122e+00,3.731632993587663538e-01
4.000000000000000000e+00,0.000000000000000000e+00,3.673469387755102122e+00,4.168491527990808021e-01
4.500000000000000000e+00,0.000000000000000000e+00,3.673469387755102122e+00,4.605164717228268922e-01
5.000000000000000000e+00,0.000000000000000000e+00,3.877551020408163573e+00,4.665177728240015864e-01
6.000000000000000000e+00,0.000000000000000000e+00,3.265306122448979664e+00,5.548070559562711113e-01
7.000000000000000000e+00,0.000000000000000000e+00,2.857142857142857206e+00,5.999295981477879014e-01
8.000000000000000000e+00,0.000000000000000000e+00,2.857142857142857206e+00,6.777588583984897053e-01
9.000000000000000000e+00,0.000000000000000000e+00,2.653061224489795755e+00,7.824200049828423653e-01
1.000000000000000000e+01,0.000000000000000000e+00,2.653061224489795755e+00,8.282034105050051220e-01
1.500000000000000000e+01,0.000000000000000000e+00,2.040816326530612290e+00,1.120049923740003894e+00
2.000000000000000000e+01,0.000000000000000000e+00,1.632653061224489832e+00,1.398236022672950662e+00
