# surftimeconst/t_eta,average_velocity_axis_us_10.0_rt_0.0,average_velocity_axis_us_15.0_rt_0.0,average_velocity_axis_us_20.0_rt_0.0,average_velocity_axis_us_6.0_rt_0.0,average_velocity_axis_us_7.0_rt_0.0,average_velocity_axis_us_8.0_rt_0.0,average_velocity_axis_us_9.0_rt_0.0
6.530612244897959329e+00,6.610296192790685588e-01,8.194905110960197803e-01,1.016647296943941070e+00,4.758377858649021630e-01,5.138207097829301517e-01,5.690442727974234227e-01,6.101600448349566719e-01
6.734693877551020336e+00,6.489330553949325120e-01,8.017053513362887296e-01,9.981836872627041224e-01,4.689583388086623894e-01,5.080650108752313709e-01,5.614408233893345423e-01,5.985118750431355217e-01
6.938775510204081343e+00,6.371613815362733302e-01,7.845129979792466735e-01,9.806178343625161498e-01,4.622320869606665883e-01,5.026994000013831343e-01,5.542069761186653176e-01,5.873782715350015504e-01
7.142857142857143238e+00,6.258081240394920419e-01,7.680323710456193886e-01,9.640769939898908847e-01,4.557226779080831847e-01,4.977977357102992828e-01,5.474228620987864335e-01,5.768696274382216771e-01
7.346938775510204245e+00,6.149668092409893427e-01,7.523823905561333181e-01,9.486884218913418376e-01,4.494937592380811586e-01,4.934338765508942126e-01,5.411686124430700184e-01,5.670963358804633758e-01
7.551020408163265252e+00,6.047309634771660392e-01,7.376819765315154598e-01,9.345793738133820749e-01,4.436089785378290462e-01,4.896816810720817092e-01,5.355243582648865353e-01,5.581687899893930105e-01
7.755102040816327147e+00,5.951941130844234928e-01,7.240500489924917016e-01,9.218771055025256622e-01,4.381319833944956610e-01,4.866150078227764464e-01,5.305702306776078903e-01,5.501973828926784993e-01
7.959183673469388154e+00,5.864497843991622883e-01,7.116055279597889305e-01,9.107088727052863319e-01,4.331264213952494280e-01,4.843077153518923206e-01,5.263863607946051015e-01,5.432925077179866502e-01
8.163265306122449161e+00,5.785915037577833431e-01,7.004673334541325902e-01,9.012019311681769285e-01,4.286559401272593273e-01,4.828336622083435059e-01,5.230528797292491872e-01,5.375645575929847153e-01
8.367346938775510168e+00,5.717127974966880188e-01,6.907543854962502339e-01,8.934835366377120724e-01,4.247841871776938949e-01,4.822667069410440099e-01,5.206499185949118313e-01,5.331239256453395026e-01
8.571428571428571175e+00,5.659071919522766780e-01,6.825856041068673052e-01,8.876809448604041641e-01,4.215748101337215559e-01,4.826807080989082843e-01,5.192576085049640522e-01,5.300810050027183751e-01
8.775510204081632182e+00,5.612682134609505713e-01,6.760799093067114685e-01,8.839214115827681573e-01,4.190914565825116789e-01,4.841495242308503366e-01,5.189560805727774229e-01,5.285461887927883629e-01
8.979591836734694965e+00,5.578893883591105052e-01,6.713562211165082783e-01,8.823321925513160080e-01,4.173977741112319118e-01,4.867470138857840078e-01,5.198254659117227394e-01,5.286298701432168290e-01
9.183673469387755972e+00,5.558642429831573972e-01,6.685334595569845106e-01,8.830405435125632252e-01,4.165574103070520118e-01,4.905470356126240272e-01,5.219458956351717971e-01,5.304424421816703594e-01
9.387755102040816979e+00,5.552863036694922760e-01,6.677305446488660534e-01,8.861737202130215429e-01,4.166340127571396823e-01,4.956234479602839027e-01,5.253975008564956140e-01,5.340942980358165393e-01
9.591836734693877986e+00,5.562490967545161702e-01,6.690663964128802377e-01,8.918589783992063591e-01,4.176912290486645141e-01,5.020501094776784745e-01,5.302604126890658742e-01,5.396958308333222876e-01
9.795918367346938993e+00,5.588461485746297752e-01,6.726599348697520631e-01,9.002235738176290747e-01,4.197927067687941549e-01,5.099008787137214727e-01,5.366147622462528188e-01,5.473574337018544123e-01
1.000000000000000000e+01,5.631709854662342307e-01,6.786300800402090827e-01,9.113947622148056427e-01,4.230020935046985842e-01,5.192496142173271823e-01,5.445406806414287981e-01,5.571894997690808315e-01
