# surftimeconst,average_velocity_axis_0_t_inf
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
0.000000000000000000e+00,3.834579077414748127e-01
